text,question,answer,distractor1,distractor2,distractor3,translation,tip
Die Portion im Fischrestaurant war wirklich groß.	Wie war die Portion?	Wirklich groß	Sehr klein	Zu teuer	Nicht gut	The portion in the seafood restaurant was really big.	'Portion' means portion.
Ich habe schöne Urlaubsfotos am Strand gemacht.	Was hat die Person gemacht?	Urlaubsfotos	Einen Kuchen	Sport	Musik	I took beautiful vacation photos at the beach.	'Urlaubsfotos' are vacation photos.
Der Alltag ist stressig. Ich brauche einen Ortswechsel.	Warum braucht die Person einen Ortswechsel?	Der Alltag ist stressig.	Sie hat kein Geld.	Das Hotel ist zu teuer.	Sie ist krank.	Everyday life is stressful. I need a change of scenery.	'Ortswechsel' means change of location/scenery.
Wir buchen die Reise über ein Reiseportal im Internet.	Wo buchen sie die Reise?	Über ein Reiseportal	Im Reisebüro	Am Flughafen	Beim Hotelier	We book the trip via a travel portal on the internet.	'Reiseportal' is a travel website.
Ein Urlaub in den Bergen ist wunderbar.	Wie findet die Person einen Urlaub in den Bergen?	Wunderbar	Furchtbar	Langweilig	Zu teuer	A vacation in the mountains is wonderful.	'Berge' means mountains.
Ich bin stark erkältet und bleibe heute im Bett.	Warum bleibt die Person im Bett?	Sie ist stark erkältet.	Sie hat Urlaub.	Es regnet draußen.	Sie ist müde.	I have a bad cold and am staying in bed today.	'erkältet' means having a cold.
Der Butler im Hotel bringt uns jeden Morgen den Tee.	Wer bringt den Tee?	Der Butler	Der Hotelier	Der Koch	Die Putzfrau	The butler in the hotel brings us tea every morning.	'Butler' is the butler.
Das Event findet auf der Sonnenterrasse statt.	Wo findet das Event statt?	Auf der Sonnenterrasse	Im Keller	Am Strand	Im Restaurant	The event takes place on the sun terrace.	'Sonnenterrasse' means sun terrace.
Wir haben ein Business-Modell für unser Reisebüro.	Wofür haben sie ein Business-Modell?	Für das Reisebüro	Für das Hotel	Für das Restaurant	Für die Schule	We have a business model for our travel agency.	'Business-Modell' is a business model.
Das ist exakt das, was ich gesucht habe!	Wie passend ist die Sache?	Exakt passend	Gar nicht passend	Ein bisschen passend	Falsch	That is exactly what I was looking for!	'exakt' means exactly.
Manche Gäste im Hotel sind leider sehr unfreundlich.	Wie sind manche Gäste?	Sehr unfreundlich	Sehr nett	Immer fröhlich	Sehr ruhig	Some guests in the hotel are unfortunately very unfriendly.	'manche' means some.
Wir haben die Weltkarte an die Wand gehängt.	Was hängt an der Wand?	Die Weltkarte	Das Urlaubsfoto	Ein Bild	Ein Fernseher	We hung the world map on the wall.	'Weltkarte' means world map.
Wir gehen jeden Morgen eine Stunde schwimmen.	Was machen sie jeden Morgen?	Schwimmen	Wandern	Ski fahren	Schlafen	We go swimming for an hour every morning.	Listen to the daily activity.
Die Nordseeinsel Sylt ist bei Touristen sehr beliebt.	Welche Insel ist sehr beliebt?	Die Nordseeinsel Sylt	Mallorca	Irland	Island	The North Sea island Sylt is very popular with tourists.	'Nordseeinsel' is a North Sea island.
