"text","question","answer","distractor1","distractor2","distractor3","translation","tip"
"Meine Augen sind rot und sie tun weh.","Welcher Körperteil tut weh?","Die Augen","Die Ohren","Die Zähne","Die Beine","My eyes are red and they hurt.","'Augen' means eyes."
"Wir spielen am Wochenende Basketball. Das ist mein Lieblingssport.","Was ist der Lieblingssport der Person?","Basketball","Fußball","Tennis","Volleyball","We are playing basketball on the weekend. That is my favorite sport.","'Lieblingssport' means favorite sport."
"Der Athlet trainiert jeden Tag für das Turnier.","Wie oft trainiert der Athlet?","Jeden Tag","Einmal pro Woche","Am Wochenende","Nie","The athlete trains every day for the tournament.","'jeden Tag' means every day."
"Ich brauche ein Antibiotikum gegen die Entzündung.","Was braucht die Person?","Ein Antibiotikum","Ein Aspirin","Einen Tee","Einen Gips","I need an antibiotic for the inflammation.","'Antibiotikum' means antibiotic."
"Mein linkes Bein ist gebrochen. Ich kann nicht laufen.","Warum kann die Person nicht laufen?","Das Bein ist gebrochen.","Der Fuß tut weh.","Sie ist müde.","Sie hat keine Schuhe.","My left leg is broken. I cannot walk.","'Bein' means leg."
"Du sollst nicht so viel rauchen, das ist ungesund!","Was soll die Person nicht machen?","Rauchen","Essen","Schlafen","Arbeiten","You shouldn't smoke so much, that is unhealthy!","'rauchen' means to smoke."
"Heben Sie den rechten Arm langsam nach oben.","Welchen Arm soll der Patient heben?","Den rechten Arm","Den linken Arm","Beide Arme","Gar keinen Arm","Lift your right arm slowly upwards.","'rechten Arm' means right arm."
"Ich lese die Anzeige im Wartezimmer.","Wo liest die Person die Anzeige?","Im Wartezimmer","Im Büro","Zu Hause","Im Krankenhaus","I am reading the advertisement in the waiting room.","'Wartezimmer' is the waiting room."
"Sie müssen sofort zum Arzt gehen!","Wann soll die Person zum Arzt gehen?","Sofort","Morgen","Nächste Woche","Am Wochenende","You must go to the doctor immediately!","'sofort' means immediately."
"Ich nehme ein Aspirin gegen die Kopfschmerzen.","Was nimmt die Person?","Ein Aspirin","Ein Antibiotikum","Einen Hustensaft","Eine Vitaminspritze","I take an aspirin for the headache.","'Kopfschmerzen' means headache."
"Das Rauchen ist hier absolut verboten.","Ist das Rauchen hier erlaubt?","Nein, es ist absolut verboten.","Ja, auf dem Balkon.","Ja, überall.","Nur am Abend.","Smoking is absolutely forbidden here.","'verboten' means forbidden."
"Gute Besserung! Hoffentlich bist du bald wieder gesund.","Was wünscht man einer kranken Person?","Gute Besserung","Viel Spaß","Herzlichen Glückwunsch","Guten Appetit","Get well soon! Hopefully you are healthy again soon.","'Gute Besserung' means Get well soon."
"Ich habe Bauchschmerzen. Ich habe zu viel Kuchen gegessen.","Warum hat die Person Bauchschmerzen?","Sie hat zu viel Kuchen gegessen.","Sie hat Sport gemacht.","Sie ist gestürzt.","Sie hat Fieber.","I have a stomachache. I ate too much cake.","'Bauchschmerzen' means stomachache."
"Der Doktor kommt gleich. Bitte warten Sie hier.","Wer kommt gleich?","Der Doktor","Die Krankenschwester","Der Patient","Der Apotheker","The doctor is coming right away. Please wait here.","'Doktor' means doctor."
"Soll ich heute zur Arbeit gehen? - Nein, Sie sind krank.","Soll die Person zur Arbeit gehen?","Nein, sie ist krank.","Ja, aber nur kurz.","Ja, sie ist gesund.","Nur am Nachmittag.","Should I go to work today? - No, you are sick.","Listen for the modal verb 'sollen' in the question."
"Wir müssen heute Nachmittag relaxen.","Was müssen sie heute Nachmittag machen?","Relaxen","Arbeiten","Sport machen","Lernen","We have to relax this afternoon.","'relaxen' means to relax."
"Mein Baby hat leider Fieber und weint viel.","Wer hat Fieber?","Das Baby","Der Arzt","Die Mutter","Der Vater","My baby unfortunately has a fever and is crying a lot.","'Baby' means baby."
"Der Fußballfan trägt das Trikot von seiner Mannschaft.","Was trägt der Fußballfan?","Ein Trikot","Eine Jacke","Einen Schal","Einen Anzug","The soccer fan is wearing the jersey of his team.","'Trikot' means sports jersey."
"Sie müssen die Kapsel mit viel Wasser schlucken.","Womit soll man die Kapsel schlucken?","Mit viel Wasser","Mit Milch","Ohne Getränk","Mit Kaffee","You must swallow the capsule with a lot of water.","'mit viel Wasser' means with a lot of water."
"Mein Körper fühlt sich sehr schwach an.","Wie fühlt sich der Körper an?","Schwach","Stark","Fit","Gesund","My body feels very weak.","'Körper' means body. 'schwach' means weak."
"Bitte machen Sie das Fenster zu. Mir ist kalt.","Was soll die Person tun?","Das Fenster zumachen","Das Fenster aufmachen","Die Tür aufmachen","Das Licht anmachen","Please close the window. I am cold.","'zumachen' means to close."
"Was fehlt Ihnen? - Ich habe Husten und Schnupfen.","Was fragt der Arzt?","Was dem Patienten fehlt","Wie spät es ist","Wo der Patient wohnt","Wie der Patient heißt","What is the matter with you? - I have a cough and a cold.","'Was fehlt Ihnen?' is a standard doctor's question."
"Das Medikament macht mich sehr müde.","Welche Nebenwirkung hat das Medikament?","Es macht müde.","Es macht wach.","Es macht hungrig.","Es macht durstig.","The medicine makes me very tired.","'müde' means tired."
"Dürfen Kinder diesen Hustensaft nehmen? - Ja, natürlich.","Dürfen Kinder den Hustensaft nehmen?","Ja, natürlich.","Nein, das ist verboten.","Nur einmal im Monat.","Nur mit Rezept.","Are children allowed to take this cough syrup? - Yes, of course.","'Hustensaft' means cough syrup."
"Ich treibe jeden Tag Sport, um fit zu bleiben.","Warum treibt die Person Sport?","Um fit zu bleiben","Um müde zu werden","Weil es langweilig ist","Um Freunde zu treffen","I do sports every day to stay fit.","'Sport treiben' means to do sports."
"Mein Hals tut weh beim Schlucken.","Welcher Körperteil tut weh?","Der Hals","Der Kopf","Die Brust","Der Bauch","My throat hurts when swallowing.","'Hals' means throat/neck."
"Wir sehen uns das Fußballspiel live im Stadion an.","Wo sehen sie das Fußballspiel?","Live im Stadion","Im Fernsehen","In der Kneipe","Auf dem Handy","We are watching the soccer game live in the stadium.","'live im Stadion' means live in the stadium."
"Er ist ein erfolgreicher Athlet und gewinnt oft.","Was ist der Mann von Beruf?","Athlet","Arzt","Lehrer","Koch","He is a successful athlete and wins often.","'Athlet' means athlete."
"Können Sie mir bitte ein Rezept für die Apotheke geben?","Was braucht der Patient für die Apotheke?","Ein Rezept","Ein Pflaster","Ein Taschentuch","Ein Zertifikat","Can you please give me a prescription for the pharmacy?","'Rezept' means prescription."
"Meine Schulter ist sehr verspannt. Ich brauche eine Massage.","Was braucht die Person?","Eine Massage","Eine Tablette","Einen Gips","Eine Spritze","My shoulder is very tense. I need a massage.","'Schulter' means shoulder."
"Sie sollen viel frisches Obst und Gemüse essen.","Was soll die Person essen?","Frisches Obst und Gemüse","Viel Fleisch","Viel Schokolade","Viel Fast Food","You should eat a lot of fresh fruit and vegetables.","'Obst und Gemüse' means fruit and vegetables."
"Darf ich nach der Operation wieder Tennis spielen?","Was fragt der Patient den Arzt?","Ob er Tennis spielen darf.","Ob er nach Hause darf.","Ob er essen darf.","Ob er schwimmen darf.","May I play tennis again after the surgery?","'Darf ich' means 'May I'."
"Ich habe eine Allergie gegen Katzen.","Wogegen hat die Person eine Allergie?","Gegen Katzen","Gegen Hunde","Gegen Milch","Gegen Pollen","I have an allergy to cats.","'Allergie' means allergy."
"Der Zahnarzt kontrolliert meine Zähne.","Wer kontrolliert die Zähne?","Der Zahnarzt","Der Augenarzt","Der Tierarzt","Der Chirurg","The dentist checks my teeth.","'Zahnarzt' means dentist. 'Zähne' means teeth."
"Ich bin gestürzt und mein Knie ist geschwollen.","Welcher Körperteil ist geschwollen?","Das Knie","Der Ellenbogen","Der Finger","Der Zeh","I fell and my knee is swollen.","'Knie' means knee."
"Die Gesundheit ist das Wichtigste im Leben.","Was ist das Wichtigste im Leben?","Die Gesundheit","Das Geld","Die Arbeit","Das Auto","Health is the most important thing in life.","'Gesundheit' means health."
"Ich trinke keinen Alkohol, wenn ich Medikamente nehme.","Wann trinkt die Person keinen Alkohol?","Wenn sie Medikamente nimmt.","Wenn sie Auto fährt.","Wenn sie krank ist.","Wenn sie feiert.","I do not drink alcohol when I take medication.","'Medikamente' means medication."
"Sie sehen heute viel besser aus als gestern.","Wie sieht die Person heute aus?","Viel besser als gestern","Schlechter als gestern","Genauso wie gestern","Sehr krank","You look much better today than yesterday.","'besser' means better."
