pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
verb,checken,,,,,to check (colloquial),"Ich checke meine E-Mails.","I check my emails.","Check mal das Internet.","Just check the internet.","Wir müssen das checken.","We have to check that."
adj,definit,,,,,definite,"Der definite Artikel ist 'der'.","The definite article is 'der'.","Ein definites Wort.","A definite word.","Das ist definit falsch.","That is definitely wrong."
adj,digital,,,,,digital,"Wir leben in einer digitalen Welt.","We live in a digital world.","Ein digitales Radio.","A digital radio.","Die Fotos sind digital.","The photos are digital."
noun,Digitalradio,das,n,Compound noun takes the gender of the last word (das Radio).,Digitalradios,digital radio,"Ich höre Musik im Digitalradio.","I listen to music on the digital radio.","Das Digitalradio ist neu.","The digital radio is new.","Wir kaufen ein Digitalradio.","We buy a digital radio."
noun,Ding,das,n,Neutral by convention.,Dinge,thing,"Was ist das für ein Ding?","What kind of thing is that?","Das Ding ist kaputt.","The thing is broken.","Ich brauche viele Dinge.","I need many things."
noun,Drucker,der,m,Nouns ending in -er (machines/tools) are often masculine.,Drucker,printer,"Der Drucker ist kaputt.","The printer is broken.","Ich brauche einen Drucker.","I need a printer.","Ist der Drucker an?","Is the printer on?"
verb,duschen,,,,,to take a shower,"Ich dusche am Morgen.","I shower in the morning.","Er duscht nach dem Sport.","He showers after sports.","Gehst du jetzt duschen?","Are you going to shower now?"
verb,einsteigen,,,,,to get on / to board (a vehicle),"Bitte einsteigen!","Please get on!","Ich steige in den Bus ein.","I board the bus.","Wo müssen wir einsteigen?","Where do we have to get on?"
num,eintausend,,,,,one thousand,"Das kostet eintausend Euro.","That costs one thousand euros.","Ein Jahr hat nicht eintausend Tage.","A year doesn't have one thousand days.","Eintausend Menschen.","One thousand people."
noun,Ende,das,n,"Nouns ending in -e are usually feminine, but 'Ende' is neutral (exception).",Enden,end,Das Ende vom Film.,The end of the movie.,Am Ende des Tages.,At the end of the day.,Das Wochenende ist da.,The weekend is here.
verb,entschuldigen,,,,,to excuse / to apologize,"Bitte entschuldigen Sie.","Please excuse me.","Ich möchte mich entschuldigen.","I want to apologize.","Entschuldige, wie spät ist es?","Excuse me, what time is it?"
noun,Fastfood,das,n,English loanword (food is neutral).,-,fast food,"Ich esse kein Fastfood.","I do not eat fast food.","Fastfood ist nicht gesund.","Fast food is not healthy.","Wir kaufen Fastfood.","We are buying fast food."
noun,Firma,die,f,Ends in -a -> mostly feminine.,Firmen,company / firm,"Er arbeitet in einer Firma.","He works in a company.","Die Firma ist groß.","The company is big.","Wie heißt die Firma?","What is the name of the company?"
noun,Flatrate,die,f,English loanword (rate/die Rate is feminine).,Flatrates,flat rate,"Ich habe eine Flatrate für das Handy.","I have a flat rate for the mobile phone.","Eine Internet-Flatrate ist günstig.","An internet flat rate is cheap.","Brauchen Sie eine Flatrate?","Do you need a flat rate?"
noun,Fragewort,das,n,Compound noun takes the gender of the last word (das Wort).,Fragewörter,question word,"'Was' ist ein Fragewort.","'Was' is a question word.","Schreiben Sie ein Fragewort.","Write a question word.","Suchen Sie das Fragewort.","Find the question word."
noun,Gigabyte,das,n,English technical terms are often neutral.,Gigabytes,gigabyte,"Ich habe fünf Gigabyte Datenvolumen.","I have five gigabytes of data.","Ein Gigabyte kostet zwei Euro.","One gigabyte costs two euros.","Wie viele Gigabyte brauchen Sie?","How many gigabytes do you need?"
adj,halb,,,,,half,"Es ist halb vier.","It is half past three (3:30).","Ein halbes Kilo Tomaten.","Half a kilo of tomatoes.","Ich arbeite halbtags.","I work half-days."
noun,Herd,der,m,Masculine by convention.,Herde,stove,"Der Topf steht auf dem Herd.","The pot is on the stove.","Machst du den Herd an?","Are you turning on the stove?","Der Herd ist heiß.","The stove is hot."
noun,Infinitiv,der,m,Grammar terms are often masculine or neutral.,Infinitive,infinitive,"Das Verb steht im Infinitiv.","The verb is in the infinitive.","Schreiben Sie den Infinitiv.","Write the infinitive.","Der Infinitiv von 'bin' ist 'sein'.","The infinitive of 'bin' is 'sein'."
noun,Ingenieur,der,m,Professions ending in -eur are masculine.,Ingenieure,engineer,"Er arbeitet als Ingenieur.","He works as an engineer.","Der Ingenieur baut ein Auto.","The engineer builds a car.","Ich lerne als Ingenieur.","I am studying to be an engineer."
adv,inklusive,,,,,inclusive / including,"Der Preis ist inklusive Frühstück.","The price includes breakfast.","Alles inklusive.","Everything inclusive.","Das Ticket ist inklusive.","The ticket is included."
adj,inoffiziell,,,,,unofficial,"Die Uhrzeit ist inoffiziell.","The time is unofficial.","Ein inoffizielles Treffen.","An unofficial meeting.","Das ist inoffiziell.","That is unofficial."
noun,Internet,das,n,English loanword.,-,internet,"Ich brauche Internet im Büro.","I need internet in the office.","Das Internet ist schnell.","The internet is fast.","Wir surfen im Internet.","We surf the internet."
noun,Internet-Flat,die,f,Compound noun takes the gender of the last word (die Flatrate).,Internet-Flats,internet flat rate,"Die Internet-Flat kostet 10 Euro.","The internet flat rate costs 10 euros.","Ich brauche eine Internet-Flat.","I need an internet flat rate.","Ist die Internet-Flat inklusive?","Is the internet flat rate included?"
noun,IT-Ingenieur,der,m,Compound noun takes the gender of the last word (der Ingenieur).,IT-Ingenieure,IT engineer,"Er ist IT-Ingenieur von Beruf.","He is an IT engineer by profession.","Die Firma sucht einen IT-Ingenieur.","The company is looking for an IT engineer.","Ich arbeite als IT-Ingenieur.","I work as an IT engineer."
noun,Kamm,der,m,Masculine by convention.,Kämme,comb,"Ich brauche einen Kamm.","I need a comb.","Der Kamm ist aus Plastik.","The comb is made of plastic.","Hast du einen Kamm?","Do you have a comb?"
noun,Kantine,die,f,Ends in -e -> mostly feminine.,Kantinen,cafeteria,"Wir essen in der Kantine.","We eat in the cafeteria.","Die Kantine ist dort drüben.","The cafeteria is over there.","Das Essen in der Kantine ist gut.","The food in the cafeteria is good."
noun,Kartoffel,die,f,Ends in -el -> mostly feminine.,Kartoffeln,potato,"Ich kaufe ein Kilo Kartoffeln.","I buy one kilo of potatoes.","Die Kartoffel ist heiß.","The potato is hot.","Essen Sie gerne Kartoffeln?","Do you like eating potatoes?"
noun,Kind,das,n,Neutral by convention.,Kinder,child,"Das Kind spielt im Garten.","The child is playing in the garden.","Wir haben zwei Kinder.","We have two children.","Ein Ticket für das Kind, bitte.","A ticket for the child, please."
noun,Kindergarten,der,m,Compound noun takes the gender of the last word (der Garten).,Kindergärten,kindergarten,"Das Kind geht in den Kindergarten.","The child goes to kindergarten.","Der Kindergarten ist in der Nähe.","The kindergarten is nearby.","Um acht Uhr beginnt der Kindergarten.","Kindergarten starts at eight o'clock."
adj,komplett,,,,,completely,"Das ist komplett falsch.","That is completely wrong.","Das Menü ist komplett.","The menu is complete.","Ich habe es komplett vergessen.","I completely forgot it."
noun,Kontaktinformation,die,f,Ends in -ion -> always feminine.,Kontaktinformationen,contact information,"Lesen Sie die Kontaktinformationen.","Read the contact information.","Hier sind meine Kontaktinformationen.","Here is my contact information.","Geben Sie mir Ihre Kontaktinformationen.","Give me your contact information."
noun,Küche,die,f,Ends in -e -> mostly feminine.,Küchen,kitchen,"Ich koche in der Küche.","I cook in the kitchen.","Die Küche ist groß.","The kitchen is big.","Der Herd steht in der Küche.","The stove is in the kitchen."
noun,Licht,das,n,Neutral by convention.,Lichter,light,"Bitte machen Sie das Licht an.","Please turn on the light.","Das Licht ist aus.","The light is off.","Wir brauchen mehr Licht.","We need more light."
pron,man,,,,,one / you (general),"Wie sagt man das auf Deutsch?","How does one say that in German?","Hier darf man nicht rauchen.","One is not allowed to smoke here.","Was kann man hier machen?","What can you do here?"
noun,Manager,der,m,English loanwords ending in -er are often masculine.,Manager,manager,"Der Manager hat heute ein Meeting.","The manager has a meeting today.","Er arbeitet als Manager.","He works as a manager.","Ich spreche mit dem Manager.","I speak with the manager."
noun,Marketingassistent,der,m,Professions ending in -ent are masculine.,Marketingassistenten,marketing assistant,"Er ist Marketingassistent.","He is a marketing assistant.","Der Marketingassistent schreibt E-Mails.","The marketing assistant writes emails.","Wir suchen einen Marketingassistenten.","We are looking for a marketing assistant."
noun,Maus,die,f,Feminine by convention.,Mäuse,mouse (animal / computer),"Ich brauche eine Computermaus.","I need a computer mouse.","Die Maus ist klein.","The mouse is small.","Der Klick mit der Maus.","The click with the mouse."
adj,mobil,,,,,mobile,"Ich bin mobil.","I am mobile.","Ein mobiles Telefon.","A mobile phone.","Wir arbeiten mobil.","We work remotely/mobile."
noun,Monat,der,m,Months and days of the week are masculine.,Monate,month,"Ein Jahr hat zwölf Monate.","A year has twelve months.","Der nächste Monat ist Mai.","The next month is May.","Was kostet das im Monat?","How much does that cost per month?"
noun,Multitasking,das,n,English gerunds (-ing) are typically neutral.,-,multitasking,"Ich bin schlecht im Multitasking.","I am bad at multitasking.","Multitasking ist manchmal anstrengend.","Multitasking is sometimes exhausting.","Frauen können angeblich besser Multitasking.","Women are supposedly better at multitasking."
prep,nach,,,,,after / to,"Nach der Arbeit gehe ich nach Hause.","After work I go home.","Es ist Viertel nach acht.","It is quarter past eight.","Der Zug fährt nach Berlin.","The train goes to Berlin."
verb,nehmen,,,,,to take,"Ich nehme einen Kaffee.","I'll take a coffee.","Nehmen Sie Platz.","Take a seat.","Er nimmt den Bus.","He takes the bus."
adv,nicht,,,,,not,"Das ist nicht richtig.","That is not correct.","Ich verstehe das nicht.","I do not understand that.","Er kommt heute nicht.","He is not coming today."
noun,Nominativ,der,m,Grammar terms are often masculine or neutral.,Nominative,nominative case,"Das Subjekt steht im Nominativ.","The subject is in the nominative case.","Der Nominativ von 'den' ist 'der'.","The nominative of 'den' is 'der'.","Schreiben Sie den Satz im Nominativ.","Write the sentence in the nominative."
adj,offiziell,,,,,official,"Die Uhrzeit ist offiziell.","The time is official.","Ein offizieller Brief.","An official letter.","Das ist offiziell erlaubt.","That is officially allowed."
prep,ohne,,,,,without,"Ein Kaffee ohne Zucker, bitte.","A coffee without sugar, please.","Ohne dich gehe ich nicht.","Without you, I am not going.","Ich esse das ohne Fleisch.","I eat that without meat."
noun,Partner,der,m,Persons ending in -er are masculine.,Partner,partner,"Das ist mein Partner.","That is my partner.","Arbeiten Sie mit einem Partner.","Work with a partner.","Suchen Sie einen Partner.","Find a partner."
noun,Pause,die,f,Ends in -e -> mostly feminine.,Pausen,break / pause,"Wir machen eine Pause.","We are taking a break.","Die Pause ist um 10 Uhr.","The break is at 10 o'clock.","Nach der Pause geht es weiter.","After the break we continue."
noun,Plakat,das,n,Neutral by convention.,Plakate,poster,"Das Plakat ist groß.","The poster is big.","Schreiben Sie auf ein Plakat.","Write on a poster.","Wir machen ein Plakat.","We make a poster."
noun,Podcast,der,m,English loanword.,Podcasts,podcast,"Ich höre gerne Podcasts.","I like listening to podcasts.","Der Podcast ist interessant.","The podcast is interesting.","Ein Podcast über Deutsch lernen.","A podcast about learning German."
noun,Polizist,der,m,Professions ending in -ist are masculine.,Polizisten,police officer,"Der Polizist hilft uns.","The police officer helps us.","Er arbeitet als Polizist.","He works as a police officer.","Fragen Sie den Polizisten.","Ask the police officer."
noun,Pommes frites,die,f (pl),Only exists in plural.,Pommes frites,french fries,"Ich esse gerne Pommes frites.","I like eating french fries.","Ein Hamburger mit Pommes frites.","A hamburger with french fries.","Eine Portion Pommes, bitte.","A portion of fries, please."
noun,Porridge,der/das,m/n,English loanwords can sometimes take different genders.,-,porridge,"Ich esse Porridge zum Frühstück.","I eat porridge for breakfast.","Der Porridge ist heiß.","The porridge is hot.","Porridge mit Obst.","Porridge with fruit."
verb,produzieren,,,,,to produce,"Die Firma produziert Autos.","The company produces cars.","Was produzieren Sie?","What do you produce?","Wir produzieren Software.","We produce software."
noun,Radio,das,n,Foreign loanwords ending in -o are often neutral.,Radios,radio,"Ich höre Musik im Radio.","I listen to music on the radio.","Bitte mach das Radio an.","Please turn on the radio.","Ein neues Radio.","A new radio."
noun,Rentner,der,m,Persons ending in -er are masculine.,Rentner,retiree / pensioner,"Mein Großvater ist Rentner.","My grandfather is a retiree.","Der Rentner liest die Zeitung.","The pensioner reads the newspaper.","Er arbeitet nicht, er ist Rentner.","He doesn't work, he is a pensioner."
noun,Sandwich,das,n,English loanword.,Sandwiches,sandwich,"Ich esse ein Sandwich.","I am eating a sandwich.","Ein Sandwich mit Käse.","A sandwich with cheese.","Das Sandwich ist lecker.","The sandwich is delicious."
verb,schauen,,,,,to look (at),"Schauen Sie mal hier.","Just look here.","Ich schaue einen Film.","I am watching a movie.","Wir schauen auf das Bild.","We look at the picture."
noun,Schere,die,f,Ends in -e -> mostly feminine.,Scheren,scissors,"Ich brauche eine Schere.","I need scissors.","Die Schere ist scharf.","The scissors are sharp.","Wo ist meine Schere?","Where are my scissors?"
verb,schlafen,,,,,to sleep,"Ich schlafe acht Stunden.","I sleep eight hours.","Er schläft noch.","He is still sleeping.","Wir schlafen im Hotel.","We sleep in the hotel."
phrase,schlafen gehen,,,,,to go to sleep,"Ich gehe jetzt schlafen.","I am going to sleep now.","Wann gehst du schlafen?","When do you go to sleep?","Die Kinder gehen schlafen.","The children go to sleep."
noun,Schraubenzieher,der,m,Tools ending in -er are often masculine.,Schraubenzieher,screwdriver,"Der Mechaniker braucht einen Schraubenzieher.","The mechanic needs a screwdriver.","Reich mir den Schraubenzieher.","Hand me the screwdriver.","Der Schraubenzieher ist im Auto.","The screwdriver is in the car."
adj,selbstständig,,,,,independent / self-employed,"Sie ist selbstständig.","She is self-employed.","Ich arbeite selbstständig.","I work independently.","Ein selbstständiger Ingenieur.","A self-employed engineer."
noun,Show,die,f,English loanword.,Shows,show,"Die Show beginnt um acht.","The show begins at eight.","Ich schaue eine Show im TV.","I watch a show on TV.","Eine tolle Show.","A great show."
noun,SMS,die,f,Abbreviation for Short Message Service.,SMS,SMS / text message,"Ich schreibe eine SMS.","I am writing a text message.","Hast du meine SMS bekommen?","Did you get my SMS?","Eine kurze SMS.","A short text message."
noun,Software,die,f,English loanword.,Softwares,software,"Wir produzieren Software.","We produce software.","Die Software ist teuer.","The software is expensive.","Ein Problem mit der Software.","A problem with the software."
adv,später,,,,,later,"Bis später!","See you later!","Ich rufe dich später an.","I will call you later.","Wir kommen später.","We will come later."
noun,Start-up,das,n,English loanword.,Start-ups,startup,"Er arbeitet in einem Start-up.","He works in a startup.","Das Start-up ist neu in Berlin.","The startup is new in Berlin.","Ein erfolgreiches Start-up.","A successful startup."
noun,Status,der,m,Latin loanword.,Status,status,"Was ist Ihr Status?","What is your status?","Er ist online (Status).","He is online (status).","Ein hoher Status.","A high status."
adj,super,,,,,great / super,"Das ist super!","That is great!","Ein super Angebot.","A great offer.","Der Film war super.","The movie was great."
noun,Support,der,m,English loanword.,Supports,support,"Rufen Sie den Support an.","Call the support.","Der IT-Support hilft mir.","The IT support helps me.","Wir bieten Support.","We offer support."
noun,Tablet,das,n,English loanword.,Tablets,tablet,"Ich lese auf dem Tablet.","I read on the tablet.","Das Tablet ist praktisch.","The tablet is practical.","Ein neues Tablet.","A new tablet."
noun,Tag,der,m,Days are masculine.,Tage,day,"Guten Tag.","Good day.","Jeden Tag.","Every day.","Ein Tag hat 24 Stunden.","A day has 24 hours."
noun,Tarif,der,m,Masculine by convention.,Tarife,tariff / rate,"Welchen Tarif haben Sie?","Which tariff do you have?","Der Tarif ist günstig.","The rate is cheap.","Ein neuer Handy-Tarif.","A new mobile phone rate."
noun,Taxifahrer,der,m,Professions ending in -er are masculine.,Taxifahrer,taxi driver,"Der Taxifahrer ist freundlich.","The taxi driver is friendly.","Arbeiten Sie als Taxifahrer?","Do you work as a taxi driver?","Ich bezahle den Taxifahrer.","I pay the taxi driver."
noun,Telefon,das,n,Neutral by convention.,Telefone,telephone,"Das Telefon klingelt.","The telephone is ringing.","Gehen Sie ans Telefon?","Are you answering the telephone?","Mein Telefon ist kaputt.","My telephone is broken."
noun,Telefongespräch,das,n,Compound noun takes the gender of the last word (das Gespräch).,Telefongespräche,telephone conversation,"Ich habe ein Telefongespräch.","I have a telephone conversation.","Das Telefongespräch war lang.","The telephone conversation was long.","Ein wichtiges Telefongespräch.","An important phone call."
verb,telefonieren,,,,,to talk on the phone,"Ich telefoniere mit meiner Mutter.","I am talking on the phone with my mother.","Wir können später telefonieren.","We can talk on the phone later.","Darf ich kurz telefonieren?","May I quickly use the phone?"
noun,Termin,der,m,Masculine by convention.,Termine,appointment,"Ich habe einen Termin um 10 Uhr.","I have an appointment at 10 o'clock.","Wir machen einen Termin.","We are making an appointment.","Haben Sie einen Termin?","Do you have an appointment?"
noun,Text,der,m,Masculine by convention.,Texte,text,"Lesen Sie den Text.","Read the text.","Der Text ist lang.","The text is long.","Ich schreibe einen Text.","I am writing a text."
noun,Topf,der,m,Masculine by convention.,Töpfe,pot,"Der Topf ist auf dem Herd.","The pot is on the stove.","Wir kochen Suppe im Topf.","We are cooking soup in the pot.","Ein großer Topf.","A big pot."
adj,total,,,,,totally / completely,"Das ist total super!","That is totally great!","Ich bin total müde.","I am completely tired.","Das Essen ist total lecker.","The food is totally delicious."
adj,trennbar,,,,,separable,"Das Verb ist trennbar.","The verb is separable.","Ein trennbares Verb.","A separable verb.","'Anrufen' ist trennbar.","'Anrufen' is separable."
noun,T-Shirt,das,n,English loanword (shirts are neutral).,T-Shirts,T-shirt,"Ich ziehe ein T-Shirt an.","I put on a T-shirt.","Das T-Shirt ist blau.","The T-shirt is blue.","Ein T-Shirt aus Baumwolle.","A cotton T-shirt."
noun,U-Bahn,die,f,Ends in -bahn (die Bahn) -> feminine.,U-Bahnen,subway / underground train,"Ich fahre mit der U-Bahn.","I travel by subway.","Die U-Bahn kommt um acht.","The subway comes at eight.","Wo ist die U-Bahn-Station?","Where is the subway station?"
adj,übrig,,,,,left over / remaining,"Haben wir noch Pizza übrig?","Do we have any pizza left?","Die übrigen Wörter.","The remaining words.","Ist noch etwas übrig?","Is there anything left?"
noun,Uhr,die,f,Feminine by convention.,Uhren,clock / o'clock,"Es ist zehn Uhr.","It is ten o'clock.","Die Uhr ist kaputt.","The clock is broken.","Um wie viel Uhr?","At what time?"
noun,Uhrzeit,die,f,Compound noun takes the gender of the last word (die Zeit).,Uhrzeiten,time (of day),"Sagen Sie die Uhrzeit.","Say the time.","Wie ist die Uhrzeit?","What is the time?","Offizielle und inoffizielle Uhrzeiten.","Official and unofficial times."
prep,um,,,,,at (time),"Der Kurs beginnt um acht Uhr.","The course begins at eight o'clock.","Ich komme um halb zehn.","I will come at half past nine.","Um wie viel Uhr?","At what time?"
noun,Viertel,das,n,Fractions are neutral.,Viertel,quarter,"Es ist Viertel nach acht.","It is quarter past eight.","Viertel vor zehn.","Quarter to ten.","Ein Viertel Pizza.","A quarter of pizza."
noun,Visitenkarte,die,f,Ends in -e -> mostly feminine.,Visitenkarten,business card,"Hier ist meine Visitenkarte.","Here is my business card.","Haben Sie eine Visitenkarte?","Do you have a business card?","Ich drucke Visitenkarten.","I print business cards."
noun,Vokal,der,m,Grammar terms are often masculine or neutral.,Vokale,vowel,"A, E, I, O, U sind Vokale.","A, E, I, O, U are vowels.","Das Wort hat drei Vokale.","The word has three vowels.","Der Vokal ist lang.","The vowel is long."
prep,vor,,,,,before / to (time),"Es ist Viertel vor neun.","It is quarter to nine.","Zehn Minuten vor acht.","Ten minutes to eight.","Vor dem Unterricht.","Before the class."
adv,wann,,,,,when,"Wann fängt der Film an?","When does the movie start?","Wann kommst du?","When are you coming?","Seit wann arbeitest du hier?","Since when do you work here?"
pron,was,,,,,what,"Was ist das?","What is that?","Was machen Sie beruflich?","What do you do for a living?","Was bedeutet das Wort?","What does the word mean?"
noun,Weltuhr,die,f,Compound noun takes the gender of the last word (die Uhr).,Weltuhren,world clock,"Die Weltuhr zeigt die Zeit in New York.","The world clock shows the time in New York.","Sehen Sie auf die Weltuhr.","Look at the world clock.","Die Weltuhr ist am Alexanderplatz.","The world clock is at Alexanderplatz."
noun,WhatsApp-Nachricht,die,f,Compound noun takes the gender of the last word (die Nachricht).,WhatsApp-Nachrichten,WhatsApp message,"Ich schreibe eine WhatsApp-Nachricht.","I am writing a WhatsApp message.","Hast du meine WhatsApp-Nachricht gelesen?","Did you read my WhatsApp message?","Eine kurze WhatsApp-Nachricht.","A short WhatsApp message."
phrase,Wie spät ist es?,,,,,What time is it?,"Entschuldigung, wie spät ist es?","Excuse me, what time is it?","Weißt du, wie spät es ist?","Do you know what time it is?","Wie spät ist es jetzt?","What time is it now?"
noun,Wörterbuch,das,n,Compound noun takes the gender of the last word (das Buch).,Wörterbücher,dictionary,"Ich benutze ein Wörterbuch.","I use a dictionary.","Schlagen Sie im Wörterbuch nach.","Look it up in the dictionary.","Das Wörterbuch ist dick.","The dictionary is thick."
noun,Zange,die,f,Ends in -e -> mostly feminine.,Zangen,pliers / pliers,"Der Mechaniker braucht eine Zange.","The mechanic needs pliers.","Gib mir bitte die Zange.","Give me the pliers, please.","Die Zange ist aus Metall.","The pliers are made of metal."
noun,Vokalwechsel,der,m,Compound noun takes the gender of the last word (der Wechsel).,Vokalwechsel,vowel change,"Das Verb hat einen Vokalwechsel.","The verb has a vowel change.","Der Vokalwechsel ist von 'e' zu 'i'.","The vowel change is from 'e' to 'i'.","Achten Sie auf den Vokalwechsel.","Pay attention to the vowel change."
