text,question,answer,distractor1,distractor2,distractor3,translation,tip
Entschuldigung, wie komme ich zum Rathaus?	Wohin möchte die Person?	Zum Rathaus	Zum Bahnhof	Zur Post	Zur Bank	Excuse me, how do I get to the town hall?	'Rathaus' is the town hall/city hall.
Gehen Sie über den Marktplatz. Das Rathaus ist da.	Wie ist der Weg zum Rathaus?	Über den Marktplatz	Um die Ecke	Geradeaus	Neben der Kirche	Walk across the market square. The town hall is there.	'über' means across.
Die Apotheke ist zwischen der Bank und der Post.	Wo ist die Apotheke?	Zwischen Bank und Post	Neben dem Kino	Hinter der Bank	Vor der Post	The pharmacy is between the bank and the post office.	'zwischen' means between.
Ich fahre im Sommer immer ans Meer.	Wohin fährt die Person im Sommer?	Ans Meer	In die Berge	In die Stadt	An den See	I always go to the sea in the summer.	'ans Meer' means to the sea.
Im Urlaub lese ich viel und entspanne mich.	Was macht die Person im Urlaub?	Lesen und entspannen	Arbeiten und putzen	Sport machen und wandern	Fernsehen und kochen	On vacation I read a lot and relax.	'Urlaub' means vacation.
Das ist ein tolles Hobby. Es macht viel Spaß.	Wie findet die Person das Hobby?	Toll (es macht Spaß)	Langweilig	Anstrengend	Teuer	That is a great hobby. It is a lot of fun.	'Spaß machen' means to be fun.
Kann dein Bruder auch Auto fahren? - Nein, noch nicht.	Kann der Bruder Auto fahren?	Nein, noch nicht.	Ja, sehr gut.	Ja, aber nur langsam.	Er hat kein Auto.	Can your brother also drive a car? - No, not yet.	'noch nicht' means not yet.
Wir wollen am See picknicken. Das Wetter ist perfekt.	Was wollen sie am See machen?	Picknicken	Schwimmen	Angeln	Boot fahren	We want to have a picnic at the lake. The weather is perfect.	'picknicken' means to have a picnic.
Der Sommer war dieses Jahr sehr heiß und trocken.	Wie war der Sommer dieses Jahr?	Heiß und trocken	Kalt und nass	Heiß und nass	Kalt und trocken	The summer was very hot and dry this year.	'trocken' means dry.
Heute ist es neblig. Man kann nicht gut sehen.	Warum kann man nicht gut sehen?	Es ist neblig.	Es ist dunkel.	Es regnet stark.	Es schneit.	Today it is foggy. One cannot see well.	'neblig' means foggy.
Gehen wir heute Abend tanzen? - Ja, gute Idee!	Was möchten sie heute Abend machen?	Tanzen gehen	Ins Kino gehen	Essen gehen	Zu Hause bleiben	Shall we go dancing tonight? - Yes, good idea!	'tanzen' means to dance.
Ich sammle Briefmarken. Das mache ich schon lange.	Was sammelt die Person?	Briefmarken	Münzen	Bücher	Autos	I collect stamps. I have been doing that for a long time.	'Briefmarken' means stamps.
