text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Meine Lieblingsaktivität ist Yoga.","Was ist ihre Lieblingsaktivität?","Yoga","Fußball","Joggen","Schwimmen","My favorite activity is yoga.","'Lieblingsaktivitität' means favorite activity."
"Die Maschine ist leider kaputt.","Was ist mit der Maschine?","Sie ist kaputt.","Sie ist neu.","Sie ist teuer.","Sie funktioniert gut.","The machine is unfortunately broken.","'kaputt' means broken."
"Er baut ein Netzwerk für sein Projekt auf.","Was baut er auf?","Ein Netzwerk","Ein Haus","Ein Zelt","Einen Tisch","He is building a network for his project.","'Netzwerk' means network."
"Wir helfen den Flüchtlingen im Zentrum.","Wem helfen sie?","Den Flüchtlingen","Den Studenten","Den Touristen","Den Kindern","We help the refugees in the center.","'Flüchtlinge' means refugees."
"Die Suppenküche bietet heute warmes Essen.","Was bietet die Suppenküche?","Warmes Essen","Kalte Getränke","Kleidung","Geld","The soup kitchen offers warm food today.","'Suppenküche' is a soup kitchen."
"Die Situation ist im Moment sehr schwierig.","Wie ist die Situation?","Schwierig","Einfach","Lustig","Langweilig","The situation is very difficult at the moment.","'schwierig' means difficult."
"Der Konnektor ""und"" verbindet zwei Sätze.","Was verbindet Sätze?","Ein Konnektor","Ein Nomen","Ein Verb","Ein Adjektiv","The connector ""and"" connects two sentences.","Grammar vocabulary: Konnektor."
"Das ist ein absolutes Muss für Touristen!","Wie findet die Person diese Aktivität?","Ein absolutes Muss","Langweilig","Zu teuer","Gefährlich","That is an absolute must for tourists!","'Ein Muss' means a must-do."
"Mein Fuß tut weh nach dem langen Spaziergang.","Was tut weh?","Der Fuß","Der Kopf","Der Arm","Das Bein","My foot hurts after the long walk.","'Fuß' is foot."
"Hast du gute Vorsätze für das neue Jahr?","Was fragt die Person?","Nach guten Vorsätzen","Nach Urlaubsplänen","Nach dem Alter","Nach dem Wetter","Do you have good resolutions for the new year?","'Vorsätze' means resolutions."
"Das ist der pure Wahnsinn! Das Ticket kostet 200 Euro!","Wie findet er den Preis?","Der pure Wahnsinn (zu teuer)","Sehr günstig","Normal","Ein gutes Angebot","That is pure madness! The ticket costs 200 euros!","'Wahnsinn' means madness/crazy."
"Die Aufgaben in der Gruppe sind gut verteilt.","Wie sind die Aufgaben?","Gut verteilt","Nicht klar","Zu schwer","Zu einfach","The tasks in the group are well distributed.","'verteilt' means distributed."
"Wer bringt heute die Getränke zur Party mit?","Was soll jemand mitbringen?","Die Getränke","Das Essen","Die Musik","Die Geschenke","Who is bringing the drinks to the party today?","'Getränke' means drinks."
"Die App ist echt genial und einfach zu bedienen.","Wie findet die Person die App?","Genial und einfach","Kompliziert","Teuer","Langweilig","The app is really brilliant and easy to use.","'genial' means brilliant."
"Ich möchte ein Steak mit Pommes, bitte.","Was bestellt der Gast?","Steak mit Pommes","Pizza","Salat","Fisch","I would like a steak with fries, please.","'Steak' is a meat dish."
"Als Nachspeise nehme ich ein Eis.","Was nimmt die Person als Nachspeise?","Ein Eis","Einen Kuchen","Einen Kaffee","Einen Apfel","For dessert I will have an ice cream.","'Nachspeise' means dessert."
"Wir jobben beide im Supermarkt.","Wo jobben sie?","Im Supermarkt","Im Café","In der Bank","Im Museum","We both work casual jobs in the supermarket.","'jobben' means to work a casual/student job."
"Sie arbeitet als Angestellte in einem Büro.","Was ist sie von Beruf?","Angestellte","Chefin","Lehrerin","Praktikantin","She works as an employee in an office.","'Angestellte' means employee."
"Erklären Sie mir bitte diesen Fragesatz.","Was soll erklärt werden?","Der Fragesatz","Das Wort","Der Text","Die Antwort","Please explain this question sentence to me.","'Fragesatz' means question (sentence)."
"Das Buch ist nicht neu, es ist secondhand.","Ist das Buch neu?","Nein, es ist secondhand.","Ja, es ist ganz neu.","Nein, es ist kaputt.","Es ist ein E-Book.","The book is not new, it is secondhand.","'secondhand' means used."
"Mein Lieblingsrestaurant bietet tolle italienische Spezialitäten.","Was bietet das Restaurant?","Italienische Spezialitäten","Griechisches Essen","Deutsche Küche","Asiatische Gerichte","My favorite restaurant offers great Italian specialties.","'Spezialitäten' means specialties."
"Im Winter fahre ich am liebsten Ski.","Was macht die Person im Winter am liebsten?","Ski fahren","Schlittschuh laufen","Schwimmen","Im Bett bleiben","In winter I like to ski best.","'Ski fahren' means to ski."
"Sie lernen abwechselnd Englisch und Deutsch.","Wie lernen sie die Sprachen?","Abwechselnd","Nur Englisch","Nur Deutsch","Gleichzeitig","They learn English and German alternately.","'abwechselnd' means alternately/taking turns."
"Wir bleiben auf jeden Fall in Kontakt!","Was wollen die Personen machen?","In Kontakt bleiben","Sich nie wieder sehen","Die Nummer löschen","Sich streiten","We will definitely stay in touch!","'In Kontakt bleiben' means to stay in touch."
