pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
adv,bald,,,,,soon,"Bis bald!","See you soon!","Wir kommen bald.","We are coming soon.","Der Kurs endet bald.","The course ends soon."
noun,Ball,der,m,Masculine by convention.,Bälle,ball,"Werfen Sie den Ball.","Throw the ball.","Der Ball ist rund.","The ball is round.","Wir spielen mit dem Ball.","We play with the ball."
verb,bekommen,,,,,to get / to receive,"Ich bekomme ein Geschenk.","I receive a gift.","Haben Sie meine E-Mail bekommen?","Did you get my email?","Wir bekommen Besuch.","We are getting visitors."
noun,Besuch,der,m,Derived from a verb without an ending -> mostly masculine.,Besuche,visit / visitor,"Wir haben heute Besuch.","We have visitors today.","Ein kurzer Besuch.","A short visit.","Vielen Dank für den Besuch.","Thank you for the visit."
noun,Besucher,der,m,Persons ending in -er are masculine.,Besucher,visitor,"Der Besucher ist da.","The visitor is there.","Das Museum hat viele Besucher.","The museum has many visitors.","Ein Ticket für den Besucher.","A ticket for the visitor."
verb,bieten,,,,,to offer,"Das Hotel bietet einen guten Service.","The hotel offers a good service.","Was bieten Sie an?","What do you offer?","Wir bieten gratis WLAN.","We offer free WiFi."
noun,Blog,der,m,English loanword.,Blogs,blog,"Ich schreibe einen Blog.","I write a blog.","Der Blog ist sehr beliebt.","The blog is very popular.","Ich lese deinen Blog.","I read your blog."
noun,Börse,die,f,Ends in -e -> mostly feminine.,Börsen,stock exchange / purse,"Er arbeitet an der Börse.","He works at the stock exchange.","Die Börse ist geschlossen.","The stock exchange is closed.","Er hat seine Börse verloren.","He lost his purse."
verb,bringen,,,,,to bring,"Bringen Sie mir einen Kaffee, bitte.","Bring me a coffee, please.","Ich bringe das Buch zurück.","I bring the book back.","Was bringst du mit?","What are you bringing along?"
noun,Buch,das,n,Neutral by convention.,Bücher,book,"Ich lese ein Buch.","I am reading a book.","Das Buch ist spannend.","The book is exciting.","Wo ist mein Buch?","Where is my book?"
adj,bunt,,,,,colorful,"Das Bild ist sehr bunt.","The picture is very colorful.","Ein bunter Vogel.","A colorful bird.","Ich mag bunte Farben.","I like colorful colors."
noun,Chinesisch,das,n,Languages are neutral.,-,Chinese (language),"Ich lerne Chinesisch.","I am learning Chinese.","Chinesisch ist schwer.","Chinese is hard.","Sprechen Sie Chinesisch?","Do you speak Chinese?"
noun,Comic,der,m,English loanword.,Comics,comic,"Ich lese gerne Comics.","I like reading comics.","Der Comic ist lustig.","The comic is funny.","Ein Comic für Kinder.","A comic for children."
noun,Comicheft,das,n,Compound: das Heft (neutral).,Comichefte,comic book,"Er kauft ein Comicheft.","He buys a comic book.","Das Comicheft ist neu.","The comic book is new.","Hast du mein Comicheft gesehen?","Did you see my comic book?"
adj,cool,,,,,cool (great / relaxed),"Das ist echt cool!","That is really cool!","Bleib cool!","Stay cool!","Eine coole Party.","A cool party."
noun,Dialog,der,m,Masculine by convention.,Dialoge,dialogue,"Wir lesen den Dialog.","We read the dialogue.","Der Dialog ist kurz.","The dialogue is short.","Ein Dialog auf Deutsch.","A dialogue in German."
pron,dies,,,,,this,"Dies ist mein Freund.","This is my friend.","Was ist dies?","What is this?","Dies und das.","This and that."
adv,dort,,,,,there,"Das Haus ist dort drüben.","The house is over there.","Ist er dort?","Is he there?","Wir gehen dorthin.","We are going there."
noun,Durst,der,m,Masculine by convention.,-,thirst,"Ich habe großen Durst.","I have great thirst (I am very thirsty).","Ein Wasser für den Durst.","A water for the thirst.","Hast du Durst?","Are you thirsty?"
adj,echt,,,,,real / genuine / really,"Das ist echt toll!","That is really great!","Ein echter Diamant.","A real diamond.","Ist das echt?","Is that real?"
adv,einmal,,,,,once / one time,"Ich war einmal in Paris.","I was in Paris once.","Noch einmal, bitte.","Once again, please.","Einmal in der Woche.","Once a week."
noun,Einzelzimmer,das,n,Compound: das Zimmer (neutral).,Einzelzimmer,single room,"Ich möchte ein Einzelzimmer.","I would like a single room.","Das Einzelzimmer ist klein.","The single room is small.","Haben Sie noch ein Einzelzimmer?","Do you still have a single room?"
noun,Eleganz,die,f,Ends in -anz -> always feminine.,-,elegance,"Die Eleganz des Kleides.","The elegance of the dress.","Das Hotel hat Eleganz.","The hotel has elegance.","Klassische Eleganz.","Classical elegance."
adj,erfolgreich,,,,,successful,"Er ist ein erfolgreicher Manager.","He is a successful manager.","Das Projekt war erfolgreich.","The project was successful.","Eine erfolgreiche Karriere.","A successful career."
verb,ergänzen,,,,,to complete / to fill in,"Ergänzen Sie die Lücken.","Fill in the blanks.","Ich muss das noch ergänzen.","I must add to that.","Wir ergänzen den Text.","We complete the text."
adv,erst,,,,,only / not until / first,"Ich komme erst um acht.","I am not coming until eight.","Ich bin erst 20 Jahre alt.","I am only 20 years old.","Erst die Arbeit, dann das Vergnügen.","First work, then pleasure."
noun,Espresso,der,m,Italian loanword.,Espressos,espresso,"Ich trinke einen Espresso.","I am drinking an espresso.","Ein Espresso, bitte.","An espresso, please.","Der Espresso ist stark.","The espresso is strong."
pron,etwas,,,,,something / some / a little,"Möchten Sie etwas trinken?","Would you like something to drink?","Ich brauche etwas Zeit.","I need a little time.","Haben Sie etwas Geld?","Do you have some money?"
noun,Expat,der,m,English loanword (short for expatriate).,Expats,expat,"Er lebt als Expat in Dubai.","He lives as an expat in Dubai.","Ein Netzwerk für Expats.","A network for expats.","Die Expats treffen sich.","The expats are meeting."
noun,Experte,der,m,Masculine weak noun (N-Deklination).,Experten,expert (male),"Er ist ein Experte für Computer.","He is an expert for computers.","Fragen Sie einen Experten.","Ask an expert.","Das sagen die Experten.","That's what the experts say."
adj,farbig,,,,,colorful / colored,"Ein farbiges Bild.","A colored picture.","Ich möchte es farbig.","I want it colorful.","Sehr farbig und schön.","Very colorful and beautiful."
adv,fast,,,,,almost,"Ich bin fast fertig.","I am almost finished.","Es ist fast Mitternacht.","It is almost midnight.","Das ist fast richtig.","That is almost correct."
noun,Flohmarkt,der,m,Compound: der Markt (masculine).,Flohmärkte,flea market,"Wir gehen auf den Flohmarkt.","We are going to the flea market.","Ich kaufe Möbel auf dem Flohmarkt.","I buy furniture at the flea market.","Der Flohmarkt ist am Sonntag.","The flea market is on Sunday."
noun,Flüchtling,der,m,Persons ending in -ling are masculine.,Flüchtlinge,refugee,"Der Flüchtling kommt aus Syrien.","The refugee comes from Syria.","Wir helfen den Flüchtlingen.","We help the refugees.","Ein Heim für Flüchtlinge.","A home for refugees."
noun,Foto,das,n,Foreign words ending in -o are mostly neutral.,Fotos,photo,"Ich mache ein Foto.","I am taking a photo.","Das Foto ist unscharf.","The photo is blurry.","Ein Foto von der Familie.","A photo of the family."
noun,Fotoapparat,der,m,Compound: der Apparat (masculine).,Fotoapparate,camera,"Ich habe einen neuen Fotoapparat.","I have a new camera.","Wo ist dein Fotoapparat?","Where is your camera?","Mit dem Fotoapparat Bilder machen.","Taking pictures with the camera."
noun,Fragesatz,der,m,Compound: der Satz (masculine).,Fragesätze,interrogative sentence / question,"Schreiben Sie einen Fragesatz.","Write a question.","Der Fragesatz endet mit einem Fragezeichen.","The question ends with a question mark.","Das ist ein Fragesatz.","That is a question."
noun,Fuß,der,m,Masculine by convention.,Füße,foot,"Mein Fuß tut weh.","My foot hurts.","Wir gehen zu Fuß.","We go on foot.","Der linke Fuß.","The left foot."
noun,Fußball,der,m,Compound: der Ball (masculine).,Fußbälle,soccer,"Wir spielen Fußball.","We play soccer.","Der Fußball ist im Garten.","The soccer ball is in the garden.","Er ist Fußball-Fan.","He is a soccer fan."
verb,gefallen,,,,,to please / to like,"Das gefällt mir.","I like that (That pleases me).","Gefällt dir das Buch?","Do you like the book?","Die Stadt gefällt uns sehr.","We like the city very much."
noun,Geld,das,n,Neutral by convention.,Gelder,money,"Ich habe kein Geld.","I have no money.","Das kostet viel Geld.","That costs a lot of money.","Wo ist das Geld?","Where is the money?"
noun,Geldbörse,die,f,Compound: die Börse (feminine).,Geldbörsen,wallet / purse,"Ich habe meine Geldbörse vergessen.","I forgot my wallet.","Die Geldbörse ist leer.","The wallet is empty.","Wo ist meine Geldbörse?","Where is my wallet?"
noun,Gemüse,das,n,Collective nouns starting with Ge- and ending in -e are neutral.,-,vegetables,"Ich esse viel Gemüse.","I eat a lot of vegetables.","Das Gemüse ist frisch.","The vegetables are fresh.","Wir kochen mit Gemüse.","We cook with vegetables."
adj,genial,,,,,brilliant / genius,"Das ist eine geniale Idee!","That is a brilliant idea!","Er ist einfach genial.","He is simply a genius.","Ein genialer Plan.","A brilliant plan."
adj,geöffnet,,,,,open,"Das Geschäft ist geöffnet.","The shop is open.","Geöffnet von 8 bis 18 Uhr.","Open from 8 to 18.","Die Tür ist geöffnet.","The door is open."
noun,Gespräch,das,n,Nouns starting with Ge- are often neutral.,Gespräche,conversation,"Wir haben ein Gespräch.","We are having a conversation.","Ein langes Gespräch.","A long conversation.","Das Gespräch war interessant.","The conversation was interesting."
noun,Glas,das,n,Neutral by convention.,Gläser,glass,"Ein Glas Wasser, bitte.","A glass of water, please.","Das Glas ist leer.","The glass is empty.","Trinkst du ein Glas Wein?","Are you drinking a glass of wine?"
noun,Grund,der,m,Masculine by convention.,Gründe,reason,"Was ist der Grund?","What is the reason?","Ich habe meine Gründe.","I have my reasons.","Aus diesem Grund.","For this reason."
noun,Hand,die,f,Feminine by convention.,Hände,hand,"Was hast du in der Hand?","What do you have in your hand?","Wasch dir die Hände.","Wash your hands.","Gib mir deine Hand.","Give me your hand."
noun,Handtasche,die,f,Compound: die Tasche (feminine).,Handtaschen,handbag / purse,"Die Handtasche ist neu.","The handbag is new.","Wo ist meine Handtasche?","Where is my handbag?","Eine teure Handtasche.","An expensive handbag."
noun,Hauptsatz,der,m,Compound: der Satz (masculine).,Hauptsätze,main clause,"Der Hauptsatz steht allein.","The main clause stands alone.","Ein Hauptsatz und ein Nebensatz.","A main clause and a subordinate clause.","Das Verb ist im Hauptsatz auf Position 2.","The verb is in position 2 in the main clause."
noun,Hausaufgabe,die,f,Compound: die Aufgabe (feminine).,Hausaufgaben,homework,"Ich mache meine Hausaufgaben.","I am doing my homework.","Haben wir Hausaufgaben?","Do we have homework?","Die Hausaufgabe ist schwer.","The homework is hard."
noun,Heft,das,n,Neutral by convention.,Hefte,notebook,"Schreiben Sie das in Ihr Heft.","Write that in your notebook.","Ich brauche ein neues Heft.","I need a new notebook.","Ein Heft für Vokabeln.","A notebook for vocabulary."
verb,helfen,,,,,to help,"Können Sie mir helfen?","Can you help me?","Ich helfe dir gerne.","I gladly help you.","Er hilft seiner Mutter.","He helps his mother."
noun,Hunger,der,m,Masculine by convention.,-,hunger,"Ich habe keinen Hunger.","I have no hunger (I am not hungry).","Wir haben großen Hunger.","We have great hunger (We are very hungry).","Ein Apfel gegen den Hunger.","An apple against the hunger."
pron,ihr,,,,,you (plural) / her (possessive),"Wo seid ihr?","Where are you guys?","Habt ihr Zeit?","Do you guys have time?","Das ist ihr Auto.","That is her car."
noun,Indien,das,n,Country names without special endings are neutral.,-,India,"Er kommt aus Indien.","He comes from India.","Wir reisen nach Indien.","We travel to India.","Neu-Delhi ist in Indien.","New Delhi is in India."
noun,Instrument,das,n,Foreign loanword ending in -ment is neutral.,Instrumente,instrument,"Spielst du ein Instrument?","Do you play an instrument?","Das Instrument ist alt.","The instrument is old.","Ein musikalisches Instrument.","A musical instrument."
noun,Interessengruppe,die,f,Compound: die Gruppe (feminine).,Interessengruppen,interest group / lobby,"Sie ist in einer Interessengruppe.","She is in an interest group.","Die Interessengruppe trifft sich heute.","The interest group meets today.","Eine politische Interessengruppe.","A political interest group."
adj,isoliert,,,,,isolated,"Er fühlt sich isoliert.","He feels isolated.","Ein isoliertes Haus.","An isolated house.","Sie leben sehr isoliert.","They live very isolated."
verb,jobben,,,,,to do a casual job / to work,"Ich jobbe im Supermarkt.","I work (a casual job) in the supermarket.","Jobbst du neben dem Studium?","Do you work alongside your studies?","Er jobbt am Wochenende.","He works on the weekend."
noun,Journalist,der,m,Professions ending in -ist are masculine.,Journalisten,journalist,"Er arbeitet als Journalist.","He works as a journalist.","Der Journalist schreibt einen Artikel.","The journalist writes an article.","Fragen Sie den Journalisten.","Ask the journalist."
noun,Kaffeemaschine,die,f,Compound: die Maschine (feminine).,Kaffeemaschinen,coffee machine,"Die Kaffeemaschine ist an.","The coffee machine is on.","Wir brauchen eine neue Kaffeemaschine.","We need a new coffee machine.","Wie funktioniert die Kaffeemaschine?","How does the coffee machine work?"
noun,Karriere,die,f,Ends in -e -> mostly feminine.,Karrieren,career,"Sie macht Karriere.","She is making a career.","Die Karriere ist ihm wichtig.","The career is important to him.","Eine Karriere in der IT.","A career in IT."
noun,Kellner,der,m,Professions ending in -er are masculine.,Kellner,waiter,"Der Kellner bringt das Essen.","The waiter brings the food.","Wir rufen den Kellner.","We call the waiter.","Er arbeitet als Kellner.","He works as a waiter."
noun,Kinobesuch,der,m,Compound: der Besuch (masculine).,Kinobesuche,cinema visit,"Wir planen einen Kinobesuch.","We are planning a cinema visit.","Der Kinobesuch war teuer.","The cinema visit was expensive.","Freust du dich auf den Kinobesuch?","Are you looking forward to the cinema visit?"
adj,klar,,,,,clear / of course,"Das ist klar.","That is clear.","Alles klar!","Alright! (Everything clear!).","Ist die Aufgabe klar?","Is the task clear?"
noun,Kompositum,das,n,Latin/Foreign word ending in -um.,Komposita,compound word,"'Hausaufgabe' ist ein Kompositum.","'Hausaufgabe' is a compound word.","Bilden Sie ein Kompositum.","Form a compound word.","Das Kompositum besteht aus zwei Wörtern.","The compound word consists of two words."
noun,Konnektor,der,m,Grammar terms ending in -or are masculine.,Konnektoren,connector / conjunction,"'Und' ist ein Konnektor.","'And' is a connector.","Verwenden Sie einen Konnektor.","Use a connector.","Der Konnektor verbindet Sätze.","The connector connects sentences."
noun,Kontakt,der,m,Masculine by convention.,Kontakte,contact,"Wir bleiben in Kontakt.","We stay in contact.","Ich habe den Kontakt verloren.","I lost contact.","Ein wichtiger Kontakt.","An important contact."
noun,Kursstatistik,die,f,Compound: die Statistik (feminine).,Kursstatistiken,course statistics,"Die Kursstatistik ist interessant.","The course statistics are interesting.","Sehen Sie sich die Kursstatistik an.","Look at the course statistics.","Wir machen eine Kursstatistik.","We are making course statistics."
adv,leider,,,,,unfortunately,"Leider habe ich keine Zeit.","Unfortunately I have no time.","Das ist leider falsch.","That is unfortunately wrong.","Leider kann ich nicht kommen.","Unfortunately I cannot come."
adj,letzte,-,-,-,-,last,"Das ist die letzte Woche.","That is the last week.","Mein letztes Geld.","My last money.","Letztes Jahr.","Last year."
noun,Lieblingsaktivität,die,f,Compound: die Aktivität (feminine).,Lieblingsaktivitäten,favorite activity,"Was ist deine Lieblingsaktivität?","What is your favorite activity?","Lesen ist meine Lieblingsaktivität.","Reading is my favorite activity.","Meine Lieblingsaktivitäten sind Sport und Musik.","My favorite activities are sports and music."
noun,Lieblingsrestaurant,das,n,Compound: das Restaurant (neutral).,Lieblingsrestaurants,favorite restaurant,"Das ist mein Lieblingsrestaurant.","That is my favorite restaurant.","Wir gehen in mein Lieblingsrestaurant.","We are going to my favorite restaurant.","Wie heißt dein Lieblingsrestaurant?","What is the name of your favorite restaurant?"
adj,lokal,,,,,local,"Wir essen lokales Essen.","We eat local food.","Eine lokale Zeitung.","A local newspaper.","Das ist ein lokales Problem.","That is a local problem."
noun,Marketing,das,n,English gerunds are typically neutral.,-,marketing,"Er arbeitet im Marketing.","He works in marketing.","Das Marketing ist wichtig.","Marketing is important.","Eine Idee für das Marketing.","An idea for marketing."
noun,Markt,der,m,Masculine by convention.,Märkte,market,"Wir gehen auf den Markt.","We are going to the market.","Der Markt ist samstags.","The market is on Saturdays.","Ich kaufe Obst auf dem Markt.","I buy fruit at the market."
noun,Maschine,die,f,Ends in -e -> mostly feminine.,Maschinen,machine,"Die Maschine ist laut.","The machine is loud.","Wie funktioniert die Maschine?","How does the machine work?","Die Maschine ist kaputt.","The machine is broken."
noun,Mitglied,das,n,Neutral by convention.,Mitglieder,member,"Ich bin Mitglied im Club.","I am a member in the club.","Wir suchen neue Mitglieder.","We are looking for new members.","Das Mitglied zahlt Geld.","The member pays money."
verb,mitmachen,,,,,to participate / to join in,"Möchtest du mitmachen?","Do you want to join in?","Wir machen beim Spiel mit.","We participate in the game.","Jeder kann mitmachen.","Everyone can join in."
verb,mögen,,,,,to like,"Ich mag Pizza.","I like pizza.","Magst du klassische Musik?","Do you like classical music?","Wir mögen das nicht.","We do not like that."
adj,multikulti,,,,,multicultural (colloquial),"Berlin ist sehr multikulti.","Berlin is very multicultural.","Eine multikulti Gesellschaft.","A multicultural society.","Das Fest war multikulti.","The festival was multicultural."
noun,Musikinstrument,das,n,Compound: das Instrument (neutral).,Musikinstrumente,musical instrument,"Welches Musikinstrument spielst du?","Which musical instrument do you play?","Ich kaufe ein Musikinstrument.","I buy a musical instrument.","Gitarre ist ein Musikinstrument.","Guitar is a musical instrument."
noun,Muss,das,n,Derived from a modal verb.,-,must / necessity,"Das ist ein absolutes Muss.","That is an absolute must.","Ein Muss für Touristen.","A must for tourists.","Es gibt kein Muss.","There is no compulsion."
noun,Nachspeise,die,f,Compound: die Speise (feminine).,Nachspeisen,dessert,"Was gibt es als Nachspeise?","What is there for dessert?","Ich möchte eine Nachspeise.","I would like a dessert.","Die Nachspeise ist lecker.","The dessert is delicious."
noun,Netzwerk,das,n,Compound: das Werk (neutral).,Netzwerke,network,"Wir bauen ein Netzwerk auf.","We build a network.","Das Netzwerk ist groß.","The network is big.","Ein soziales Netzwerk.","A social network."
pron,nichts,,,,,nothing,"Ich weiß nichts.","I know nothing.","Wir haben nichts gemacht.","We did nothing.","Das kostet nichts.","That costs nothing."
noun,Online-Netzwerk,das,n,Compound: das Netzwerk (neutral).,Online-Netzwerke,online network,"Facebook ist ein Online-Netzwerk.","Facebook is an online network.","Wir sind in einem Online-Netzwerk.","We are in an online network.","Ein professionelles Online-Netzwerk.","A professional online network."
noun,Online-Shop,der,m,English loanword.,Online-Shops,online shop,"Ich kaufe im Online-Shop.","I buy in the online shop.","Der Online-Shop ist immer auf.","The online shop is always open.","Wir eröffnen einen Online-Shop.","We open an online shop."
adv,plötzlich,,,,,suddenly,"Plötzlich war es dunkel.","Suddenly it was dark.","Er kam plötzlich.","He came suddenly.","Plötzlich regnete es.","Suddenly it rained."
verb,programmieren,,,,,to program / to code,"Er kann programmieren.","He can program.","Ich programmiere eine App.","I am programming an app.","Wir programmieren das Spiel.","We program the game."
noun,Projekt,das,n,Neutral by convention.,Projekte,project,"Wir arbeiten an einem Projekt.","We are working on a project.","Das Projekt ist wichtig.","The project is important.","Mein neues Projekt.","My new project."
noun,Region,die,f,Ends in -ion -> always feminine.,Regionen,region,"Wir wohnen in einer schönen Region.","We live in a beautiful region.","Die Region ist bekannt für Wein.","The region is known for wine.","In dieser Region.","In this region."
noun,Salami,die,f,Italian loanwords ending in -i are often feminine.,Salamis,salami,"Pizza mit Salami, bitte.","Pizza with salami, please.","Ich kaufe Salami.","I am buying salami.","Die Salami ist scharf.","The salami is spicy."
noun,Salsa,die,f,Foreign loanwords ending in -a are often feminine.,-,salsa (dance / sauce),"Wir tanzen Salsa.","We dance salsa.","Salsa-Musik ist toll.","Salsa music is great.","Ein Kurs für Salsa.","A course for salsa."
noun,Schritt,der,m,Masculine by convention.,Schritte,step,"Das ist der erste Schritt.","That is the first step.","Gehen Sie zwei Schritte.","Go two steps.","Schritt für Schritt.","Step by step."
noun,Schuh,der,m,Masculine by convention.,Schuhe,shoe,"Der Schuh ist zu klein.","The shoe is too small.","Ich brauche neue Schuhe.","I need new shoes.","Wo ist mein rechter Schuh?","Where is my right shoe?"
adj,secondhand,,,,,secondhand,"Ich kaufe secondhand.","I buy secondhand.","Das sind secondhand Kleider.","Those are secondhand clothes.","Ein secondhand Buch.","A secondhand book."
noun,Situation,die,f,Ends in -ion -> always feminine.,Situationen,situation,"Die Situation ist schwierig.","The situation is difficult.","In dieser Situation.","In this situation.","Eine lustige Situation.","A funny situation."
verb,sitzen,,,,,to sit,"Ich sitze auf dem Stuhl.","I am sitting on the chair.","Wir sitzen im Garten.","We are sitting in the garden.","Wo sitzen Sie?","Where are you sitting?"
noun,Sommer,der,m,Seasons are masculine.,Sommer,summer,"Im Sommer ist es heiß.","In summer it is hot.","Wir reisen im Sommer.","We travel in summer.","Ein schöner Sommer.","A beautiful summer."
adj,sozial,,,,,social,"Das ist ein soziales Netzwerk.","That is a social network.","Er hat einen sozialen Beruf.","He has a social profession.","Soziale Kontakte sind wichtig.","Social contacts are important."
noun,Spezialität,die,f,Ends in -tät -> always feminine.,Spezialitäten,specialty,"Sushi ist eine japanische Spezialität.","Sushi is a Japanese specialty.","Was ist die Spezialität des Hauses?","What is the specialty of the house?","Regionale Spezialitäten.","Regional specialties."
noun,Steak,das,n,English loanword.,Steaks,steak,"Ich esse gerne Steak.","I like to eat steak.","Das Steak ist gut.","The steak is good.","Ein Steak mit Pommes.","A steak with fries."
noun,Stern,der,m,Masculine by convention.,Sterne,star,"Der Stern ist hell.","The star is bright.","Am Himmel sind viele Sterne.","In the sky are many stars.","Ein Fünf-Sterne-Hotel.","A five-star hotel."
noun,Straßenkind,das,n,Compound: das Kind (neutral).,Straßenkinder,street child,"Das Straßenkind braucht Hilfe.","The street child needs help.","Ein Projekt für Straßenkinder.","A project for street children.","Das Leben der Straßenkinder.","The life of the street children."
noun,Suppenküche,die,f,Compound: die Küche (feminine).,Suppenküchen,soup kitchen,"Sie helfen in der Suppenküche.","They help in the soup kitchen.","Essen aus der Suppenküche.","Food from the soup kitchen.","Die Suppenküche ist offen.","The soup kitchen is open."
noun,Tasche,die,f,Ends in -e -> mostly feminine.,Taschen,bag / pocket,"Das ist meine Tasche.","That is my bag.","Hast du Geld in der Tasche?","Do you have money in your pocket?","Die Tasche ist schwer.","The bag is heavy."
noun,Teilnehmer,der,m,Persons ending in -er are masculine.,Teilnehmer,participant,"Der Teilnehmer ist aus Spanien.","The participant is from Spain.","Wie viele Teilnehmer hat der Kurs?","How many participants does the course have?","Zertifikat für alle Teilnehmer.","Certificate for all participants."
noun,Tennisball,der,m,Compound: der Ball (masculine).,Tennisbälle,tennis ball,"Wir brauchen einen Tennisball.","We need a tennis ball.","Der Tennisball ist gelb.","The tennis ball is yellow.","Ich werfe den Tennisball.","I throw the tennis ball."
noun,Tipp,der,m,English loanword.,Tipps,tip / advice,"Das ist ein guter Tipp.","That is a good tip.","Haben Sie einen Tipp für mich?","Do you have a tip for me?","Tipps für Deutschlerner.","Tips for German learners."
noun,Traumwohnung,die,f,Compound: die Wohnung (feminine).,Traumwohnungen,dream apartment,"Wir suchen eine Traumwohnung.","We are looking for a dream apartment.","Das ist meine Traumwohnung.","That is my dream apartment.","Leben in der Traumwohnung.","Living in the dream apartment."
verb,unternehmen,,,,,to undertake / to do,"Wir unternehmen einen Ausflug.","We are undertaking an excursion.","Was wollen wir heute unternehmen?","What do we want to do today?","Wir müssen etwas unternehmen.","We must do something."
verb,verabreden,,,,,to arrange a meeting,"Wir verabreden uns für morgen.","We are arranging to meet for tomorrow.","Ich bin verabredet.","I have an appointment/date.","Lasst uns einen Termin verabreden.","Let's arrange an appointment."
verb,verbinden,,,,,to connect / to tie,"Ich verbinde die Wörter.","I connect the words.","Können Sie mich mit Herrn Schmidt verbinden?","Can you connect me with Mr. Schmidt? (Phone)","Die Brücke verbindet die Städte.","The bridge connects the cities."
adj,verteilt,,,,,distributed / scattered,"Die Aufgaben sind verteilt.","The tasks are distributed.","Die Leute sind auf der ganzen Welt verteilt.","The people are scattered all over the world.","Gleichmäßig verteilt.","Evenly distributed."
adv,vielleicht,,,,,maybe / perhaps,"Vielleicht komme ich morgen.","Maybe I will come tomorrow.","Ist das vielleicht dein Buch?","Is that perhaps your book?","Vielleicht ja, vielleicht nein.","Maybe yes, maybe no."
adj,virtuell,,,,,virtual,"Eine virtuelle Welt.","A virtual world.","Wir haben ein virtuelles Meeting.","We have a virtual meeting.","Virtuelle Realität.","Virtual reality."
noun,Vorsatz,der,m,Compound: der Satz (masculine).,Vorsätze,resolution / intention,"Ein guter Vorsatz für das neue Jahr.","A good resolution for the new year.","Ich habe gute Vorsätze.","I have good intentions.","Mit Vorsatz.","On purpose."
noun,Wahnsinn,der,m,Masculine by convention.,-,madness / insanity (colloquial: awesome),"Das ist ja Wahnsinn!","That is madness/awesome!","Der pure Wahnsinn.","Pure madness.","Wahnsinn, wie teuer das ist!","Crazy how expensive that is!"
verb,weiterlaufen,,,,,to continue running / to keep going,"Wir müssen weiterlaufen.","We have to keep running.","Der Film läuft weiter.","The movie continues playing.","Lauf einfach weiter.","Just keep walking."
adv,wieder,,,,,again,"Wann kommst du wieder?","When are you coming again?","Immer wieder.","Time and again.","Wir sehen uns wieder.","We will see each other again."
noun,Winter,der,m,Seasons are masculine.,Winter,winter,"Im Winter schneit es.","In winter it snows.","Der Winter ist kalt.","The winter is cold.","Wir fahren im Winter Ski.","We go skiing in winter."
