sentence,words,tip,translation_en
"Ich bin genauso groß wie mein Bruder.","Ich|bin|genauso|groß|wie|mein|Bruder|.","genauso ... wie","I am just as tall as my brother."
"Sie ist älter als ich.","Sie|ist|älter|als|ich|.","Komparativ + als","She is older than I am."
"Gesundheit ist wichtiger als eine Karriere.","Gesundheit|ist|wichtiger|als|eine|Karriere|.","Komparativ + als","Health is more important than a career."
"Yoga ist genauso entspannend wie Schlafen.","Yoga|ist|genauso|entspannend|wie|Schlafen|.","genauso ... wie","Yoga is just as relaxing as sleeping."
"Was machst du gegen Stress?","Was|machst|du|gegen|Stress|?","Asking for advice","What do you do against stress?"
"Gegen Stress helfen Yoga und viel Schlaf.","Gegen|Stress|helfen|Yoga|und|viel|Schlaf|.","Giving advice","Against stress, yoga and a lot of sleep help."
"Er ist heute sehr gestresst von der Arbeit.","Er|ist|heute|sehr|gestresst|von|der|Arbeit|.","Vocabulary (gestresst)","He is very stressed from work today."
"Was bedeutet das Wort 'Salbe'?","Was|bedeutet|das|Wort|'Salbe'|?","Asking for meaning","What does the word 'ointment' mean?"
"Kannst du mir diese Vokabel erklären?","Kannst|du|mir|diese|Vokabel|erklären|?","Asking for explanation","Can you explain this vocabulary word to me?"
"Das bedeutet, dass man eine Creme auf die Haut macht.","Das|bedeutet|,|dass|man|eine|Creme|auf|die|Haut|macht|.","Explaining meaning","That means that one puts a cream on the skin."
"Der Schwede und die Britin arbeiten zusammen.","Der|Schwede|und|die|Britin|arbeiten|zusammen|.","Nationalities","The Swede and the Briton work together."
"Er hat sich den Fuß gebrochen und kann nicht laufen.","Er|hat|sich|den|Fuß|gebrochen|und|kann|nicht|laufen|.","Body parts","He broke his foot and cannot walk."
"Mein Rücken tut weh, wenn ich lange sitze.","Mein|Rücken|tut|weh|,|wenn|ich|lange|sitze|.","Body parts / wehtun","My back hurts when I sit for a long time."
"Der Arzt untersucht meine Ohren und meine Nase.","Der|Arzt|untersucht|meine|Ohren|und|meine|Nase|.","Body parts / untersuchen","The doctor examines my ears and my nose."
"Diese Augentropfen brennen ein bisschen.","Diese|Augentropfen|brennen|ein|bisschen|.","Medicine vocab","These eye drops sting a little."
"Ich nehme Hustensaft gegen den Husten.","Ich|nehme|Hustensaft|gegen|den|Husten|.","Medicine vocab","I take cough syrup against the cough."
"Ein lustiger Mensch hat weniger Stress.","Ein|lustiger|Mensch|hat|weniger|Stress|.","Adjektivdeklination (ein lustiger)","A funny person has less stress."
"Keine guten Freunde zu haben, macht unglücklich.","Keine|guten|Freunde|zu|haben|,|macht|unglücklich|.","Adjektivdeklination (keine guten)","Having no good friends makes one unhappy."
"Mein Wunsch für die Zukunft ist viel Gesundheit.","Mein|Wunsch|für|die|Zukunft|ist|viel|Gesundheit|.","Wishes","My wish for the future is much health."
"So ein Pech, ich habe meine Medizin vergessen!","So|ein|Pech|,|ich|habe|meine|Medizin|vergessen|!","Expressing bad luck","Such bad luck, I forgot my medicine!"
"Wir wären jetzt lieber im warmen Spanien.","Wir|wären|jetzt|lieber|im|warmen|Spanien|.","Konjunktiv II (wären)","We would rather be in warm Spain right now."
"Sie trinkt Tee von morgens bis abends.","Sie|trinkt|Tee|von|morgens|bis|abends|.","von ... bis","She drinks tea from morning until evening."
"Das Rezept geben Sie bitte in der Apotheke ab.","Das|Rezept|geben|Sie|bitte|in|der|Apotheke|ab|.","abgeben / Rezept","Please hand in the prescription at the pharmacy."
"Er hustet schon die ganze Woche.","Er|hustet|schon|die|ganze|Woche|.","husten","He has been coughing all week already."
"Eine Erkältung ist oft schlimmer als man denkt.","Eine|Erkältung|ist|oft|schlimmer|als|man|denkt|.","Komparativ + als","A cold is often worse than one thinks."
"Haben Sie etwas gegen Zahnschmerzen?","Haben|Sie|etwas|gegen|Zahnschmerzen|?","Pharmacy request","Do you have something against toothache?"
"Trinken Sie viel Wasser, das ist das Beste.","Trinken|Sie|viel|Wasser|,|das|ist|das|Beste|.","Superlativ","Drink a lot of water, that is the best."
"Am liebsten liege ich im Bett und schlafe.","Am|liebsten|liege|ich|im|Bett|und|schlafe|.","Superlativ (am liebsten)","Most of all, I like to lie in bed and sleep."
"Geld allein macht nicht glücklich.","Geld|allein|macht|nicht|glücklich|.","Idiom/Expression","Money alone does not make one happy."
"Ich brauche mehr Entspannung in meinem Leben.","Ich|brauche|mehr|Entspannung|in|meinem|Leben|.","Vocab: Entspannung","I need more relaxation in my life."
"Ein kluges Kind lernt schnell.","Ein|kluges|Kind|lernt|schnell|.","Adjektivdeklination (ein kluges)","A smart child learns fast."
"Der Grieche spricht genauso gut Deutsch wie die Britin.","Der|Grieche|spricht|genauso|gut|Deutsch|wie|die|Britin|.","genauso ... wie + Nationalities","The Greek speaks German just as well as the Briton."
"Ich bleibe bis nächsten Montag zu Hause.","Ich|bleibe|bis|nächsten|Montag|zu|Hause|.","bis + Zeit","I am staying home until next Monday."
"Die Praxis bleibt von Weihnachten bis Neujahr zu.","Die|Praxis|bleibt|von|Weihnachten|bis|Neujahr|zu|.","von ... bis","The practice remains closed from Christmas to New Year."
"Mein Arm ist dicker als dein Arm.","Mein|Arm|ist|dicker|als|dein|Arm|.","Komparativ + als","My arm is thicker than your arm."
"Du solltest deine Gesundheit nicht ignorieren.","Du|solltest|deine|Gesundheit|nicht|ignorieren|.","Health advice","You shouldn't ignore your health."
"Ein treuer Hund ist ein tolles Geschenk.","Ein|treuer|Hund|ist|ein|tolles|Geschenk|.","Adjektivdeklination (ein treuer)","A loyal dog is a great gift."
"Was wünschst du dir zum Geburtstag?","Was|wünschst|du|dir|zum|Geburtstag|?","wünschen","What do you wish for your birthday?"
"Ich wünsche mir, dass ich nie wieder Zahnschmerzen habe.","Ich|wünsche|mir|,|dass|ich|nie|wieder|Zahnschmerzen|habe|.","Wishes","I wish that I never have a toothache again."
"Hast du die Tabletten schon eingenommen?","Hast|du|die|Tabletten|schon|eingenommen|?","einnehmen (Perfekt)","Have you already taken the pills?"
"Diese Vokabeln sind wichtig für den Arztbesuch.","Diese|Vokabeln|sind|wichtig|für|den|Arztbesuch|.","Vocab","These vocabulary words are important for the doctor's visit."
"Wenn ich nicht im Büro wäre, würde ich wandern gehen.","Wenn|ich|nicht|im|Büro|wäre|,|würde|ich|wandern|gehen|.","Konjunktiv II (wäre)","If I weren't in the office, I would go hiking."
"Ein ehrlicher Mensch lügt nicht.","Ein|ehrlicher|Mensch|lügt|nicht|.","Adjektivdeklination (ein ehrlicher)","An honest person does not lie."
"Die Ärztin hört genau zu und untersucht den Patienten.","Die|Ärztin|hört|genau|zu|und|untersucht|den|Patienten|.","At the doctor's","The doctor listens closely and examines the patient."
"Seine Schmerzen sind schlimmer als gestern.","Seine|Schmerzen|sind|schlimmer|als|gestern|.","Komparativ + als","His pain is worse than yesterday."
"Ich nehme dreimal täglich 15 Tropfen.","Ich|nehme|dreimal|täglich|15|Tropfen|.","Dosage","I take 15 drops three times daily."
