pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en,ex4_de,ex4_en,ex5_de,ex5_en
noun,Bahnhof,der,m,Compound ending -hof is often masculine: der Bahnhof.,Bahnhöfe,station,Der Bahnhof ist weit.,The station is far.,,,,,,,,
noun,Straße,die,f,Common street nouns are feminine: die Straße.,Straßen,street,Die Straße ist breit.,The street is wide.,,,,,,,,
noun,Zimmer,das,n,Exception to -er rule: das Zimmer (neuter).,Zimmer,room,Das Zimmer ist sauber.,The room is clean.,,,,,,,,
noun,Tisch,der,m,Many furniture items are masculine: der Tisch.,Tische,table,Der Tisch ist klein.,The table is small.,,,,,,,,
noun,Stuhl,der,m,Many furniture items are masculine: der Stuhl.,Stühle,chair,Der Stuhl ist bequem.,The chair is comfortable.,,,,,,,,
noun,Fenster,das,n,Exception: das Fenster (neuter).,Fenster,window,Das Fenster ist zu.,The window is closed.,,,,,,,,
noun,Tür,die,f,Door nouns often feminine: die Tür.,Türen,door,Die Tür ist offen.,The door is open.,,,,,,,,
noun,Frage,die,f,Ending -e → usually feminine: die Frage.,Fragen,question,Ich habe eine Frage.,I have a question.,,,,,,,,
noun,Antwort,die,f,Many nouns ending -t are feminine: die Antwort.,Antworten,answer,Das ist die Antwort.,That is the answer.,,,,,,,,
noun,Woche,die,f,Ending -e → usually feminine: die Woche.,Wochen,week,Die Woche ist lang.,The week is long.,,,,,,,,
noun,Jahr,das,n,Fixed chunk: das Jahr.,Jahre,year,Dieses Jahr ist gut.,This year is good.,,,,,,,,
noun,Morgen,der,m,Time-of-day noun often masculine: der Morgen.,Morgen,morning;tomorrow,Am Morgen trinke ich Kaffee.,In the morning I drink coffee.,Morgen habe ich Zeit.,Tomorrow I have time.,,,,,,
noun,Abend,der,m,Time-of-day noun often masculine: der Abend.,Abende,evening,Guten Abend!,Good evening!,Der Abend ist schön.,The evening is beautiful.,,,,,,
noun,Nacht,die,f,Fixed chunk: die Nacht.,Nächte,night,Gute Nacht!,Good night!,In der Nacht schlafe ich.,At night I sleep.,,,,,,
noun,Arbeit,die,f,Often feminine; learn as chunk: die Arbeit.,Arbeiten,work;job,Ich gehe zur Arbeit.,I go to work.,,,,,,,,
noun,Familie,die,f,Suffix -ie → often feminine: die Familie.,Familien,family,Meine Familie ist groß.,My family is big.,,,,,,,,
noun,Freund,der,m,Natural gender (male friend) → der Freund.,Freunde,friend (male),Er ist mein Freund.,He is my friend.,,,,,,,,
noun,Freundin,die,f,Suffix -in marks feminine: die Freundin.,Freundinnen,friend (female),Sie ist meine Freundin.,She is my friend.,,,,,,,,
noun,Telefon,das,n,Many -on loanwords are neuter: das Telefon.,Telefone,phone,Wo ist das Telefon?,Where is the phone?,,,,,,,,
noun,Computer,der,m,Many device loanwords are masculine; learn: der Computer.,Computer,computer,Mein Computer ist alt.,My computer is old.,,,,,,,,
verb,sein,,,—,,to be,Ich bin müde.,I am tired.,Bist du hier?,Are you here?,,,,,,
verb,haben,,,—,,to have,Ich habe Zeit.,I have time.,Wir haben ein Auto.,We have a car.,,,,,,
verb,gehen,,,—,,to go,Wir gehen nach Hause.,We go home.,Ich gehe zur Schule.,I go to school.,,,,,,
verb,kommen,,,—,,to come,Er kommt später.,He comes later.,Kommst du heute?,Are you coming today?,,,,,,
verb,machen,,,—,,to do;to make,Ich mache Kaffee.,I make coffee.,Was machst du?,What are you doing?,,,,,,
verb,lernen,,,—,,to learn,Ich lerne Deutsch.,I learn German.,Wir lernen zusammen.,We learn together.,,,,,,
verb,sprechen,,,—,,to speak,Sie spricht Deutsch.,She speaks German.,Sprichst du Englisch?,Do you speak English?,,,,,,
verb,essen,,,—,,to eat,Wir essen Brot.,We eat bread.,Ich esse einen Apfel.,I eat an apple.,,,,,,
verb,trinken,,,—,,to drink,Ich trinke Wasser.,I drink water.,Trinkst du Tee?,Do you drink tea?,,,,,,
verb,lesen,,,—,,to read,Ich lese ein Buch.,I read a book.,Liest du gern?,Do you like reading?,,,,,,
adj,groß,,,—,,big;large,Das Haus ist groß.,The house is big.,,,,,,,,
adj,klein,,,—,,small,Die Stadt ist klein.,The city is small.,,,,,,,,
noun,Mann,der,m,"Natural gender: male person → usually der.",Männer,man,"Der Mann ist hier.","The man is here.","Der Mann kommt aus Deutschland.","The man comes from Germany.",,,,,,
noun,Frau,die,f,"Natural gender: female person → usually die.",Frauen,woman,"Die Frau ist nett.","The woman is nice.","Die Frau arbeitet heute.","The woman works today.",,,,,,
noun,Kind,das,n,"Many young beings are neuter in German (das Kind).",Kinder,child,"Das Kind spielt.","The child is playing.","Das Kind lernt Deutsch.","The child is learning German.",,,,,,
noun,Mädchen,das,n,"Diminutive suffix -chen → always neuter (das).",Mädchen,girl,"Das Mädchen ist 8 Jahre alt.","The girl is 8 years old.","Das Mädchen geht zur Schule.","The girl goes to school.",,,,,,
noun,Name,der,m,"Some common -e nouns are masculine: der Name.",Namen,name,"Mein Name ist Ali.","My name is Ali.","Wie ist dein Name?","What is your name?",,,,,,
noun,Familie,die,f,"Many nouns ending in -ie are feminine: die Familie.",Familien,family,"Meine Familie ist groß.","My family is big.","Die Familie wohnt in Berlin.","The family lives in Berlin.",,,,,,
noun,Freund,der,m,"Male person word → usually der.",Freunde,friend,"Das ist mein Freund.","That is my friend.","Mein Freund ist hier.","My friend is here.",,,,,,
noun,Haus,das,n,"Many buildings/places are neuter: das Haus.",Häuser,house,"Das Haus ist alt.","The house is old.","Wir haben ein Haus.","We have a house.",,,,,,
noun,Wohnung,die,f,"Nouns ending -ung are almost always feminine: die Wohnung.",Wohnungen,apartment,"Die Wohnung ist klein.","The apartment is small.","Ich suche eine Wohnung.","I am looking for an apartment.",,,,,,
noun,Zimmer,das,n,"Many rooms are neuter: das Zimmer.",Zimmer,room,"Mein Zimmer ist sauber.","My room is clean.","Das Zimmer hat ein Fenster.","The room has a window.",,,,,,
noun,Küche,die,f,"Many nouns ending -e are feminine: die Küche.",Küchen,kitchen,"Die Küche ist neu.","The kitchen is new.","In der Küche steht ein Tisch.","A table is in the kitchen.",,,,,,
noun,Bad,das,n,"Many short room nouns are neuter: das Bad.",Bäder,bathroom,"Das Bad ist da.","The bathroom is there.","Ich bin im Bad.","I am in the bathroom.",,,,,,
noun,Schule,die,f,"Many nouns ending -e are feminine: die Schule.",Schulen,school,"Die Schule ist groß.","The school is big.","Ich gehe in die Schule.","I go to school.",,,,,,
noun,Stadt,die,f,"Many nouns ending -t are feminine: die Stadt.",Städte,city,"Die Stadt ist schön.","The city is beautiful.","Ich wohne in einer Stadt.","I live in a city.",,,,,,
noun,Straße,die,f,"Most nouns ending -e are feminine: die Straße.",Straßen,street,"Die Straße ist lang.","The street is long.","Die Straße ist hier.","The street is here.",,,,,,
noun,Bahnhof,der,m,"Many -hof compounds are masculine: der Bahnhof.",Bahnhöfe,train station,"Der Bahnhof ist in der Stadt.","The train station is in the city.","Wir warten am Bahnhof.","We are waiting at the station.",,,,,,
noun,Bus,der,m,"Most vehicle names are masculine: der Bus.",Busse,bus,"Der Bus kommt gleich.","The bus is coming soon.","Ich fahre mit dem Bus.","I go by bus.",,,,,,
noun,Zug,der,m,"Many transport nouns are masculine: der Zug.",Züge,train,"Der Zug ist pünktlich.","The train is on time.","Ich nehme den Zug.","I take the train.",,,,,,
noun,Auto,das,n,"Many loanwords ending -o are neuter: das Auto.",Autos,car,"Das Auto ist teuer.","The car is expensive.","Ich habe ein Auto.","I have a car.",,,,,,
noun,Fahrrad,das,n,"Many compounds with Rad are neuter: das Fahrrad.",Fahrräder,bicycle,"Das Fahrrad ist neu.","The bicycle is new.","Ich fahre Fahrrad.","I ride a bicycle.",,,,,,
noun,Schlüssel,der,m,"Many nouns ending -el are masculine: der Schlüssel.",Schlüssel,key,"Wo ist der Schlüssel?","Where is the key?","Ich habe den Schlüssel.","I have the key.",,,,,,
noun,Tasche,die,f,"Most nouns ending -e are feminine: die Tasche.",Taschen,bag,"Die Tasche ist schwer.","The bag is heavy.","Meine Tasche ist schwarz.","My bag is black.",,,,,,
noun,Tisch,der,m,"Many furniture nouns are masculine: der Tisch.",Tische,table,"Der Tisch ist groß.","The table is big.","Auf dem Tisch liegt ein Buch.","A book is on the table.",,,,,,
noun,Stuhl,der,m,"Many furniture nouns are masculine: der Stuhl.",Stühle,chair,"Der Stuhl ist kaputt.","The chair is broken.","Ich sitze auf dem Stuhl.","I sit on the chair.",,,,,,
noun,Fenster,das,n,"Many nouns ending -er are neuter: das Fenster.",Fenster,window,"Das Fenster ist offen.","The window is open.","Bitte schließ das Fenster.","Please close the window.",,,,,,
noun,Tür,die,f,"Many short household nouns are feminine: die Tür.",Türen,door,"Die Tür ist zu.","The door is closed.","Mach die Tür auf!","Open the door!",,,,,,
noun,Buch,das,n,"Many nouns ending -uch are neuter: das Buch.",Bücher,book,"Das Buch ist interessant.","The book is interesting.","Ich lese ein Buch.","I am reading a book.",,,,,,
noun,Uhr,die,f,"Time nouns like Uhr are feminine: die Uhr.",Uhren,clock;watch,"Die Uhr ist alt.","The clock is old.","Wie spät ist es? Es ist drei Uhr.","What time is it? It is three o'clock.",,,,,,
noun,Tag,der,m,"Days are masculine: der Tag.",Tage,day,"Heute ist ein guter Tag.","Today is a good day.","Der Tag ist lang.","The day is long.",,,,,,
noun,Woche,die,f,"Most nouns ending -e are feminine: die Woche.",Wochen,week,"Die Woche ist stressig.","The week is stressful.","Nächste Woche habe ich Urlaub.","Next week I have vacation.",,,,,,
noun,Monat,der,m,"Months are masculine: der Monat.",Monate,month,"Der Monat hat vier Wochen.","The month has four weeks.","Im Monat Januar ist es kalt.","In January it is cold.",,,,,,
noun,Wasser,das,n,"Substances are often neuter: das Wasser.",,water,"Ich trinke Wasser.","I drink water.","Das Wasser ist kalt.","The water is cold.",,,,,,
noun,Brot,das,n,"Many food items are neuter: das Brot.",Brote,bread,"Ich esse Brot.","I eat bread.","Das Brot ist frisch.","The bread is fresh.",,,,,,
noun,Milch,die,f,"Common food noun to memorize: die Milch (often uncountable).",,milk,"Ich trinke Milch.","I drink milk.","Die Milch ist im Kühlschrank.","The milk is in the fridge.",,,,,,
noun,Kaffee,der,m,"Many drinks are masculine: der Kaffee (also der Tee).",,coffee,"Ich trinke Kaffee.","I drink coffee.","Der Kaffee ist heiß.","The coffee is hot.",,,,,,
noun,Apfel,der,m,"Many fruits are masculine: der Apfel.",Äpfel,apple,"Der Apfel ist lecker.","The apple is tasty.","Ich kaufe Äpfel.","I buy apples.",,,,,,
noun,Banane,die,f,"Many fruits ending -e are feminine: die Banane.",Bananen,banana,"Die Banane ist gelb.","The banana is yellow.","Ich esse eine Banane.","I eat a banana.",,,,,,
noun,Arbeit,die,f,"Nouns ending -eit are almost always feminine: die Arbeit.",Arbeiten,work;job,"Ich habe viel Arbeit.","I have a lot of work.","Er sucht Arbeit.","He is looking for work.",,,,,,
noun,Geld,das,n,"Word to memorize: das Geld (no normal plural).",,money,"Ich habe kein Geld.","I have no money.","Das Geld ist in der Tasche.","The money is in the bag.",,,,,,
verb,sein,,,,,"to be","Ich bin müde.","I am tired.","Das ist gut.","That is good.",,,,,,
verb,haben,,,,,"to have","Ich habe Zeit.","I have time.","Wir haben ein Auto.","We have a car.",,,,,,
verb,heißen,,,,,"to be called;to be named","Ich heiße Sara.","My name is Sara.","Wie heißen Sie?","What is your name? (formal)",,,,,,
verb,kommen,,,,,"to come","Ich komme aus Ägypten.","I come from Egypt.","Kommst du heute?","Are you coming today?",,,,,,
verb,gehen,,,,,"to go;to walk","Ich gehe nach Hause.","I go home.","Wir gehen in die Stadt.","We go to the city.",,,,,,
verb,fahren,,,,,"to drive;to go (by vehicle)","Wir fahren nach Berlin.","We are going to Berlin.","Er fährt mit dem Bus.","He goes by bus.",,,,,,
verb,machen,,,,,"to do;to make","Ich mache Hausaufgaben.","I do homework.","Was machst du heute?","What are you doing today?",,,,,,
verb,lernen,,,,,"to learn;to study","Ich lerne Deutsch.","I learn German.","Wir lernen zusammen.","We learn together.",,,,,,
adj,gut,,,,,"good","Das ist gut.","That is good.","Der Kaffee ist gut.","The coffee is good.",,,,,,
phrase,"Guten Morgen",,,,,"good morning","Guten Morgen, wie geht’s?","Good morning, how are you?","Guten Morgen, Frau Müller.","Good morning, Ms. Müller.",,,,,,
noun,Vater,der,m,"Natural gender: male family member → usually der.",Väter,father,"Mein Vater ist zu Hause.","My father is at home.","Der Vater arbeitet heute.","The father works today.",,,,,,
noun,Mutter,die,f,"Natural gender: female family member → usually die.",Mütter,mother,"Meine Mutter kocht.","My mother is cooking.","Die Mutter ist nett.","The mother is nice.",,,,,,
noun,Bruder,der,m,"Natural gender: male person → usually der.",Brüder,brother,"Ich habe einen Bruder.","I have a brother.","Mein Bruder ist 20 Jahre alt.","My brother is 20 years old.",,,,,,
noun,Schwester,die,f,"Natural gender: female person → usually die.",Schwestern,sister,"Meine Schwester lernt Deutsch.","My sister is learning German.","Die Schwester ist in der Schule.","The sister is at school.",,,,,,
noun,Sohn,der,m,"Natural gender: male child → usually der.",Söhne,son,"Der Sohn spielt Fußball.","The son plays soccer.","Ihr Sohn ist klein.","Her son is small.",,,,,,
noun,Tochter,die,f,"Natural gender: female child → usually die.",Töchter,daughter,"Die Tochter ist hier.","The daughter is here.","Seine Tochter ist 5 Jahre alt.","His daughter is 5 years old.",,,,,,
noun,Lehrer,der,m,"Many person nouns ending -er are masculine; female: Lehrerin.",Lehrer,teacher,"Der Lehrer spricht langsam.","The teacher speaks slowly.","Mein Lehrer ist freundlich.","My teacher is friendly.",,,,,,
noun,Arzt,der,m,"Person noun: der Arzt (female: Ärztin).",Ärzte,doctor,"Der Arzt hilft mir.","The doctor helps me.","Ich bin beim Arzt.","I am at the doctor’s.",,,,,,
noun,Hund,der,m,"Common animal noun to memorize: der Hund.",Hunde,dog,"Der Hund ist süß.","The dog is cute.","Mein Hund schläft.","My dog is sleeping.",,,,,,
noun,Katze,die,f,"Many nouns ending -e are feminine: die Katze.",Katzen,cat,"Die Katze trinkt Milch.","The cat drinks milk.","Meine Katze ist schwarz.","My cat is black.",,,,,,
noun,Adresse,die,f,"Many nouns ending -e are feminine: die Adresse.",Adressen,address,"Wie ist deine Adresse?","What is your address?","Meine Adresse ist hier.","My address is here.",,,,,,
noun,Telefon,das,n,"Many loanwords/objects are neuter: das Telefon.",Telefone,telephone,"Das Telefon ist neu.","The telephone is new.","Ich telefoniere mit meiner Mutter.","I’m on the phone with my mother.",,,,,,
noun,Handynummer,die,f,"Base noun Nummer is feminine → die Nummer / die Handynummer.",Handynummern,mobile number,"Wie ist deine Handynummer?","What is your mobile number?","Meine Handynummer ist 0176...","My mobile number is 0176...",,,,,,
noun,Land,das,n,"Many country/land nouns are neuter: das Land.",Länder,country,"Deutschland ist ein Land.","Germany is a country.","Ich komme aus einem anderen Land.","I come from another country.",,,,,,
noun,Sprache,die,f,"Many nouns ending -e are feminine: die Sprache.",Sprachen,language,"Deutsch ist eine Sprache.","German is a language.","Welche Sprachen sprichst du?","Which languages do you speak?",,,,,,
noun,Frage,die,f,"Many nouns ending -e are feminine: die Frage.",Fragen,question,"Ich habe eine Frage.","I have a question.","Die Frage ist leicht.","The question is easy.",,,,,,
noun,Antwort,die,f,"Many nouns ending -t are feminine: die Antwort.",Antworten,answer,"Die Antwort ist richtig.","The answer is correct.","Ich weiß die Antwort.","I know the answer.",,,,,,
noun,Zeit,die,f,"Nouns ending -eit are almost always feminine: die Zeit.",Zeiten,time,"Ich habe keine Zeit.","I have no time.","Die Zeit ist wichtig.","Time is important.",,,,,,
noun,Minute,die,f,"Many nouns ending -e are feminine: die Minute.",Minuten,minute,"Warte bitte eine Minute.","Please wait a minute.","In fünf Minuten komme ich.","I’ll come in five minutes.",,,,,,
noun,Stunde,die,f,"Many nouns ending -e are feminine: die Stunde.",Stunden,hour,"Eine Stunde hat 60 Minuten.","An hour has 60 minutes.","Ich arbeite zwei Stunden.","I work for two hours.",,,,,,
noun,Termin,der,m,"Many nouns ending -in are masculine here: der Termin.",Termine,appointment,"Ich habe morgen einen Termin.","I have an appointment tomorrow.","Der Termin ist um 10 Uhr.","The appointment is at 10 o’clock.",,,,,,
noun,Kurs,der,m,"Many -s ending loanwords are masculine: der Kurs.",Kurse,course,"Der Kurs beginnt heute.","The course starts today.","Ich mache einen Deutschkurs.","I’m taking a German course.",,,,,,
noun,Prüfung,die,f,"Nouns ending -ung are almost always feminine: die Prüfung.",Prüfungen,exam,"Die Prüfung ist schwer.","The exam is hard.","Ich lerne für die Prüfung.","I study for the exam.",,,,,,
noun,Restaurant,das,n,"Many loanwords in -ant/-ent are neuter: das Restaurant.",Restaurants,restaurant,"Wir gehen ins Restaurant.","We are going to the restaurant.","Das Restaurant ist geöffnet.","The restaurant is open.",,,,,,
noun,Markt,der,m,"Many short nouns are masculine: der Markt.",Märkte,market,"Der Markt ist groß.","The market is big.","Ich kaufe Gemüse auf dem Markt.","I buy vegetables at the market.",,,,,,
noun,Park,der,m,"Many loanwords like Park are masculine: der Park.",Parks,park,"Der Park ist schön.","The park is beautiful.","Wir gehen in den Park.","We go to the park.",,,,,,
noun,Bank,die,f,"Word to memorize: die Bank (also ‘bench/bank’).",Banken,bank,"Die Bank ist in der Stadt.","The bank is in the city.","Ich bin bei der Bank.","I am at the bank.",,,,,,
noun,Hotel,das,n,"Many loanwords are neuter: das Hotel.",Hotels,hotel,"Das Hotel ist teuer.","The hotel is expensive.","Wir schlafen im Hotel.","We sleep in the hotel.",,,,,,
noun,Krankenhaus,das,n,"Compounds with Haus are often neuter: das Krankenhaus.",Krankenhäuser,hospital,"Das Krankenhaus ist dort.","The hospital is there.","Er ist im Krankenhaus.","He is in the hospital.",,,,,,
noun,Apotheke,die,f,"Many nouns ending -e are feminine: die Apotheke.",Apotheken,pharmacy,"Die Apotheke ist neben dem Bahnhof.","The pharmacy is next to the station.","Ich gehe in die Apotheke.","I go to the pharmacy.",,,,,,
verb,sprechen,,,,"","to speak","Ich spreche Deutsch.","I speak German.","Sprechen Sie Englisch?","Do you speak English?",,,,,,
verb,lesen,,,,"","to read","Ich lese ein Buch.","I read a book.","Liest du gern?","Do you like reading?",,,,,,
verb,schreiben,,,,"","to write","Ich schreibe eine E-Mail.","I write an email.","Schreib bitte deinen Namen.","Please write your name.",,,,,,
verb,fragen,,,,"","to ask","Ich frage den Lehrer.","I ask the teacher.","Darf ich etwas fragen?","May I ask something?",,,,,,
verb,antworten,,,,"","to answer","Ich antworte sofort.","I answer immediately.","Antwortest du auf die Frage?","Do you answer the question?",,,,,,
verb,kaufen,,,,"","to buy","Ich kaufe Brot.","I buy bread.","Kaufst du ein Ticket?","Are you buying a ticket?",,,,,,
verb,bezahlen,,,,"","to pay","Ich bezahle mit Karte.","I pay by card.","Wer bezahlt heute?","Who is paying today?",,,,,,
verb,brauchen,,,,"","to need","Ich brauche Hilfe.","I need help.","Wir brauchen Zeit.","We need time.",,,,,,
verb,warten,,,,"","to wait","Ich warte auf den Bus.","I wait for the bus.","Wartest du hier?","Are you waiting here?",,,,,,
verb,finden,,,,"","to find","Ich finde den Schlüssel.","I find the key.","Wie findest du das?","How do you find that? (What do you think?)",,,,,,
adj,klein,,,,"","small","Das Zimmer ist klein.","The room is small.","Der Hund ist klein.","The dog is small.",,,,,,
adj,groß,,,,"","big; tall","Die Stadt ist groß.","The city is big.","Der Park ist groß.","The park is big.",,,,,,
adj,teuer,,,,"","expensive","Das Hotel ist teuer.","The hotel is expensive.","Der Kaffee ist zu teuer.","The coffee is too expensive.",,,,,,
adj,billig,,,,"","cheap","Der Stift ist billig.","The pen is cheap.","Das Ticket ist billig.","The ticket is cheap.",,,,,,
adj,kalt,,,,"","cold","Das Wasser ist kalt.","The water is cold.","Heute ist es kalt.","Today it is cold.",,,,,,
adj,warm,,,,"","warm","Der Tee ist warm.","The tea is warm.","Im Sommer ist es warm.","In summer it is warm.",,,,,,
phrase,Danke,,,,"","thank you","Danke!","Thank you!","Danke für deine Hilfe.","Thank you for your help.",,,,,,
phrase,Entschuldigung,,,,"","sorry; excuse me","Entschuldigung!","Excuse me!","Entschuldigung, wo ist der Bahnhof?","Excuse me, where is the station?",,,,,,
phrase,Guten Abend,,,,"","good evening","Guten Abend!","Good evening!","Guten Abend, wie geht’s?","Good evening, how are you?",,,,,,
phrase,Gute Nacht,,,,"","good night","Gute Nacht!","Good night!","Gute Nacht, schlaf gut.","Good night, sleep well.",,,,,,
noun,Student,der,m,Person nouns are often masculine (der).,Studenten,student,Der Student lernt Deutsch.,The student is learning German.,,,,,,,,
noun,Studentin,die,f,Nouns ending in -in are feminine (die).,Studentinnen,student (female),Die Studentin kommt aus Spanien.,The student comes from Spain.,,,,,,,,
noun,Nachbar,der,m,Many nouns ending in -er are masculine (der).,Nachbarn,neighbor,Mein Nachbar wohnt nebenan.,My neighbor lives next door.,,,,,,,,
noun,Nachbarin,die,f,Nouns ending in -in are feminine (die).,Nachbarinnen,neighbor (female),Die Nachbarin ist freundlich.,The (female) neighbor is friendly.,,,,,,,,
noun,Kollege,der,m,Many job/person nouns are masculine (der).,Kollegen,colleague,Mein Kollege arbeitet heute.,My colleague is working today.,,,,,,,,
noun,Kollegin,die,f,Nouns ending in -in are feminine (die).,Kolleginnen,colleague (female),Die Kollegin ist im Büro.,The (female) colleague is in the office.,,,,,,,,
noun,Baby,das,n,Many short loanwords are neuter (das).,Babys,baby,Das Baby schläft.,The baby is sleeping.,,,,,,,,
noun,Pass,der,m,Common document noun: der Pass.,Pässe,passport,Ich brauche meinen Pass.,I need my passport.,,,,,,,,
noun,Ausweis,der,m,Many nouns ending in -weis are masculine (der).,Ausweise,ID card,Zeigen Sie bitte Ihren Ausweis.,Please show your ID.,,,,,,,,
noun,Briefkasten,der,m,Compound with Kasten → masculine (der).,Briefkästen,mailbox,Der Briefkasten ist draußen.,The mailbox is outside.,,,,,,,,
noun,Post,die,f,Service/office noun is feminine (die Post).,,post / post office,Ich gehe zur Post.,I’m going to the post office.,,,,,,,,
noun,Foto,das,n,Short form is usually neuter (das Foto).,Fotos,photo,Ich mache ein Foto.,I take a photo.,,,,,,,,
noun,Karte,die,f,Many nouns ending in -e are feminine (die).,Karten,card / map,Hast du eine Karte?,Do you have a map/card?,,,,,,,,
noun,Handy,das,n,Loanword commonly neuter (das).,Handys,mobile phone,Mein Handy ist neu.,My phone is new.,,,,,,,,
noun,Computer,der,m,Loanword commonly masculine (der).,Computer,computer,Der Computer ist kaputt.,The computer is broken.,,,,,,,,
noun,Fernseher,der,m,Nouns ending in -er are often masculine (der).,Fernseher,television set,Der Fernseher ist an.,The TV is on.,,,,,,,,
noun,Telefon,das,n,Common device noun is neuter (das Telefon).,Telefone,telephone,Das Telefon klingelt.,The phone is ringing.,,,,,,,,
noun,Bett,das,n,Many household items are neuter (das).,Betten,bed,Ich liege im Bett.,I am lying in bed.,,,,,,,,
noun,Kissen,das,n,Many items are neuter (das).,Kissen,pillow,Das Kissen ist weich.,The pillow is soft.,,,,,,,,
noun,Decke,die,f,Nouns ending in -e are often feminine (die).,Decken,blanket,Ich brauche eine Decke.,I need a blanket.,,,,,,,,
noun,Schrank,der,m,Many furniture nouns are masculine (der).,Schränke,cupboard / wardrobe,Die Jacke ist im Schrank.,The jacket is in the wardrobe.,,,,,,,,
noun,Lampe,die,f,Nouns ending in -e are often feminine (die).,Lampen,lamp,Die Lampe ist hell.,The lamp is bright.,,,,,,,,
noun,Teller,der,m,Nouns ending in -er are often masculine (der).,Teller,plate,Der Teller ist sauber.,The plate is clean.,,,,,,,,
noun,Gabel,die,f,Common utensil noun is feminine (die).,Gabeln,fork,Die Gabel liegt auf dem Tisch.,The fork is on the table.,,,,,,,,
noun,Messer,das,n,Common utensil noun is neuter (das).,Messer,knife,Das Messer ist scharf.,The knife is sharp.,,,,,,,,
noun,Löffel,der,m,Many utensil nouns are masculine (der).,Löffel,spoon,Der Löffel ist klein.,The spoon is small.,,,,,,,,
noun,Glas,das,n,Common container noun is neuter (das).,Gläser,glass (cup),Ich trinke Wasser aus einem Glas.,I drink water from a glass.,,,,,,,,
noun,Tasse,die,f,Nouns ending in -e are often feminine (die).,Tassen,cup,Eine Tasse Tee, bitte.,A cup of tea, please.,,,,,,,,
noun,Flasche,die,f,Nouns ending in -e are often feminine (die).,Flaschen,bottle,Die Flasche ist leer.,The bottle is empty.,,,,,,,,
noun,Tomate,die,f,Nouns ending in -e are often feminine (die).,Tomaten,tomato,Ich kaufe Tomaten.,I buy tomatoes.,,,,,,,,
noun,Kartoffel,die,f,Many food nouns are feminine (die).,Kartoffeln,potato,Die Kartoffel ist heiß.,The potato is hot.,,,,,,,,
noun,Zwiebel,die,f,Many food nouns are feminine (die).,Zwiebeln,onion,Die Zwiebel ist nicht süß.,The onion is not sweet.,,,,,,,,
verb,kochen,,,,,to cook,Ich koche Suppe.,I cook soup.,,,,,,,,
verb,putzen,,,,,to clean,Wir putzen die Küche.,We clean the kitchen.,,,,,,,,
verb,duschen,,,,,to shower,Ich dusche am Morgen.,I shower in the morning.,,,,,,,,
verb,waschen,,,,,to wash,Ich wasche meine Hände.,I wash my hands.,,,,,,,,
verb,baden,,,,,to bathe,Die Kinder baden.,The children are bathing.,,,,,,,,
verb,telefonieren,,,,,to make a phone call,Ich telefoniere mit meiner Freundin.,I talk on the phone with my friend.,,,,,,,,
verb,schwimmen,,,,,to swim,Er schwimmt im Meer.,He swims in the sea.,,,,,,,,
