sentence,words,tip,translation_en
"Sie kocht das Essen.","Sie|kocht|das|Essen|.","""kochen"" = to cook","She cooks the food."
"Der Apfel ist süß.","Der|Apfel|ist|süß|.","""süß"" = sweet","The apple is sweet."
"Wir haben einen Garten.","Wir|haben|einen|Garten|.","Accusative masculine object","We have a garden."
"Ich schlafe lange.","Ich|schlafe|lange|.","Adverb ""lange"" = long/for a long time","I sleep for a long time."
"Das Fenster ist zu.","Das|Fenster|ist|zu|.","""zu sein"" = to be closed","The window is closed."
"Er arbeitet im Büro.","Er|arbeitet|im|Büro|.","""im"" = in the (dative)","He works in the office."
"Mein Name ist Tom.","Mein|Name|ist|Tom|.","""Name"" = masculine noun","My name is Tom."
"Sie trägt eine Brille.","Sie|trägt|eine|Brille|.","""tragen"" = to wear","She wears glasses."
"Das ist kein Stift.","Das|ist|kein|Stift|.","""kein"" = no/not a (masculine)","That is not a pen."
"Wir lernen zusammen.","Wir|lernen|zusammen|.","""zusammen"" = together","We learn together."
"Ich habe eine Frage.","Ich|habe|eine|Frage|.","Feminine accusative object","I have a question."
"Die Suppe ist heiß.","Die|Suppe|ist|heiß|.","""heiß"" = hot (temperature)","The soup is hot."
"Es ist schon spät.","Es|ist|schon|spät|.","""schon"" = already","It is already late."
"Der Lehrer erklärt.","Der|Lehrer|erklärt|.","""erklären"" = to explain","The teacher explains."
"Sie bleibt zu Hause.","Sie|bleibt|zu|Hause|.","""bleiben"" = to stay","She stays at home."
"Das Handy ist neu.","Das|Handy|ist|neu|.","""Handy"" = mobile phone","The mobile phone is new."
"Ich sehe fern.","Ich|sehe|fern|.","Separable verb ""fernsehen""","I watch TV."
"Die Tasche ist voll.","Die|Tasche|ist|voll|.","""voll"" = full","The bag is full."
"Wir essen zu Mittag.","Wir|essen|zu|Mittag|.","""zu Mittag essen"" = to eat lunch","We eat lunch."
"Er rennt schnell.","Er|rennt|schnell|.","""rennen"" = to run","He runs fast."
"Das Kind weint.","Das|Kind|weint|.","""weinen"" = to cry","The child cries."
"Ich bin müde.","Ich|bin|müde|.","""müde"" = tired","I am tired."
"Sie hat einen Bruder.","Sie|hat|einen|Bruder|.","Accusative masculine object","She has a brother."
"Der Kaffee ist fertig.","Der|Kaffee|ist|fertig|.","""fertig"" = ready","The coffee is ready."
"Wir warten auf den Bus.","Wir|warten|auf|den|Bus|.","""auf"" + accusative","We wait for the bus."
"Ich putze mein Zimmer.","Ich|putze|mein|Zimmer|.","""Zimmer"" = neuter noun","I clean my room."
"Das Lied ist kurz.","Das|Lied|ist|kurz|.","""kurz"" = short","The song is short."
"Es tut mir leid.","Es|tut|mir|leid|.","Fixed apology phrase","I'm sorry."
"Der Stift schreibt gut.","Der|Stift|schreibt|gut|.","""schreiben"" = to write","The pen writes well."
"Sie öffnet das Fenster.","Sie|öffnet|das|Fenster|.","""öffnen"" = to open","She opens the window."
"Wir haben Glück.","Wir|haben|Glück|.","""Glück haben"" = to be lucky","We are lucky."
"Ich nehme den Zug.","Ich|nehme|den|Zug|.","Accusative masculine transport","I take the train."
"Guten Appetit!","Guten|Appetit|!","Fixed mealtime phrase","Enjoy your meal!"
"Die Eltern sind da.","Die|Eltern|sind|da|.","Plural noun ""Eltern"" = parents","The parents are here."
"Er geht spazieren.","Er|geht|spazieren|.","Verb + infinitive structure","He goes for a walk."
"Das ist interessant.","Das|ist|interessant|.","Adjective ending unchanged","That is interesting."
"Wie spät ist es?","Wie|spät|ist|es|?","Fixed time question","What time is it?"
"Die Jacke ist warm.","Die|Jacke|ist|warm|.","Adjective after noun (feminine)","The jacket is warm."
"Wir fahren Rad.","Wir|fahren|Rad|.","""Rad fahren"" = to ride a bike","We ride bikes."
"Sie trinkt Tee.","Sie|trinkt|Tee|.","Liquid noun (no article)","She drinks tea."
"Das ist mein Zimmer.","Das|ist|mein|Zimmer|.","""Zimmer"" = neuter noun","That is my room."
"Ich wasche meine Hände.","Ich|wasche|meine|Hände|.","""meine"" + plural noun","I wash my hands."
"Die Uhr ist kaputt.","Die|Uhr|ist|kaputt|.","""kaputt"" = broken","The clock is broken."
"Er spricht leise.","Er|spricht|leise|.","Adverb ""leise"" = quietly","He speaks quietly."
"Wir haben einen Test.","Wir|haben|einen|Test|.","Accusative masculine object","We have a test."
"Das Kind lacht.","Das|Kind|lacht|.","""lachen"" = to laugh","The child laughs."
"Ich bin zu Hause.","Ich|bin|zu|Hause|.","""zu Hause"" = at home","I am at home."
"Die Blume ist gelb.","Die|Blume|ist|gelb|.","""gelb"" = yellow","The flower is yellow."
"Es ist kalt draußen.","Es|ist|kalt|draußen|.","""draußen"" = outside","It is cold outside."
"Ich schreibe mit einem Stift.","Ich|schreibe|mit|einem|Stift|.","""mit"" + dative instrument","I write with a pen."
"Der Computer ist neu.","Der|Computer|ist|neu|.","Masculine loanword","The computer is new."
"Sie kauft eine Jacke.","Sie|kauft|eine|Jacke|.","Feminine accusative object","She buys a jacket."
"Wir singen ein Lied.","Wir|singen|ein|Lied|.","Neuter accusative object","We sing a song."
"Ich sehe einen Film.","Ich|sehe|einen|Film|.","Accusative masculine object","I watch a movie."
"Das Wasser ist heiß.","Das|Wasser|ist|heiß|.","""heiß"" = hot","The water is hot."
"Er geht zur Arbeit.","Er|geht|zur|Arbeit|.","""zur"" = zu + der (dative)","He goes to work."
"Die Vase ist aus Glas.","Die|Vase|ist|aus|Glas|.","Material without article","The vase is made of glass."
"Wir brauchen Milch.","Wir|brauchen|Milch|.","""brauchen"" = to need","We need milk."
"Ich höre eine CD.","Ich|höre|eine|CD|.","Feminine accusative object","I listen to a CD."
"Der Ball ist rund.","Der|Ball|ist|rund|.","""rund"" = round","The ball is round."
"Sie putzt die Zähne.","Sie|putzt|die|Zähne|.","Reflexive action (implied)","She brushes her teeth."
"Es ist Mittag.","Es|ist|Mittag|.","Time of day (no article)","It is noon."
"Das ist deine Tasche.","Das|ist|deine|Tasche|.","""deine"" = feminine possessive","That is your bag."
"Wir spielen Karten.","Wir|spielen|Karten|.","Plural noun (game)","We play cards."
"Ich sitze auf dem Sofa.","Ich|sitze|auf|dem|Sofa|.","""auf"" + dative location","I sit on the sofa."
"Der Schlüssel ist hier.","Der|Schlüssel|ist|hier|.","Masculine noun location","The key is here."
"Sie hat blaue Augen.","Sie|hat|blaue|Augen|.","Adjective before plural noun","She has blue eyes."
"Das Foto ist schwarz-weiß.","Das|Foto|ist|schwarz-weiß|.","Compound adjective","The photo is black and white."
"Wir machen Hausaufgaben.","Wir|machen|Hausaufgaben|.","Plural noun (always plural)","We do homework."
"Ich bin krank.","Ich|bin|krank|.","""krank"" = sick","I am sick."
"Der Bus ist pünktlich.","Der|Bus|ist|pünktlich|.","""pünktlich"" = on time","The bus is on time."
"Sie kocht Reis.","Sie|kocht|Reis|.","Food noun (no article)","She cooks rice."
"Das ist unsere Katze.","Das|ist|unsere|Katze|.","""unsere"" = feminine possessive","That is our cat."
"Er liest die Nachrichten.","Er|liest|die|Nachrichten|.","Plural noun (news)","He reads the news."
"Wir treffen Freunde.","Wir|treffen|Freunde|.","Plural accusative object","We meet friends."
"Ich trage eine Mütze.","Ich|trage|eine|Mütze|.","""tragen"" = to wear","I wear a hat."
"Die Schule beginnt.","Die|Schule|beginnt|.","""beginnen"" = to begin","The school starts."
"Es ist nicht weit.","Es|ist|nicht|weit|.","""weit"" = far","It is not far."
"Der Himmel ist blau.","Der|Himmel|ist|blau|.","""Himmel"" = sky","The sky is blue."
"Sie hat Hunger.","Sie|hat|Hunger|.","""Hunger haben"" = to be hungry","She is hungry."
"Wir gehen ins Kino.","Wir|gehen|ins|Kino|.","""ins"" = in + das (accusative)","We go to the cinema."
"Ich verliere mein Buch.","Ich|verliere|mein|Buch|.","""verlieren"" = to lose","I lose my book."
"Das Hemd ist sauber.","Das|Hemd|ist|sauber|.","""sauber"" = clean","The shirt is clean."
"Er kommt aus der Schweiz.","Er|kommt|aus|der|Schweiz|.","""aus"" + country with article","He comes from Switzerland."
"Die Kinder sind laut.","Die|Kinder|sind|laut|.","""laut"" = loud","The children are loud."
"Das Sofa ist bequem.","Das|Sofa|ist|bequem|.","""bequem"" = comfortable","The sofa is comfortable."
"Wir lieben Musik.","Wir|lieben|Musik|.","""lieben"" = to love","We love music."
"Ich stehe früh auf.","Ich|stehe|früh|auf|.","Separable verb ""aufstehen""","I get up early."
"Ich frühstücke jeden Morgen.","Ich|frühstücke|jeden|Morgen|.","""jeden Morgen"" = every morning","I eat breakfast every morning."
"Mein Bruder fährt mit dem Fahrrad zur Arbeit.","Mein|Bruder|fährt|mit|dem|Fahrrad|zur|Arbeit|.","Dative transport + ""zur"" = zu+der","My brother bikes to work."
"Wir kaufen frisches Obst auf dem Markt.","Wir|kaufen|frisches|Obst|auf|dem|Markt|.","Adjective ending ""-es"" for neuter","We buy fresh fruit at the market."
"Die Studenten lernen Deutsch in der Bibliothek.","Die|Studenten|lernen|Deutsch|in|der|Bibliothek|.","Plural subject + location phrase","The students learn German in the library."
"Kannst du mir bitte helfen?","Kannst|du|mir|bitte|helfen|?","Modal verb + dative ""mir""","Can you please help me?"
"Ich möchte einen Kaffee mit Milch.","Ich|möchte|einen|Kaffee|mit|Milch|.","""möchten"" + accusative + ""mit""","I would like a coffee with milk."
"Das Mädchen spielt mit ihrer Puppe im Garten.","Das|Mädchen|spielt|mit|ihrer|Puppe|im|Garten|.","Possessive ""ihrer"" (dative feminine)","The girl plays with her doll in the garden."
"Am Wochenende besuche ich meine Großeltern.","Am|Wochenende|besuche|ich|meine|Großeltern|.","Time expression + accusative plural","On weekends I visit my grandparents."
"Der Supermarkt hat von 8 bis 20 Uhr geöffnet.","Der|Supermarkt|hat|von|8|bis|20|Uhr|geöffnet|.","Opening hours structure","The supermarket is open from 8 AM to 8 PM."
"Sie trägt einen roten Pullover und eine blaue Hose.","Sie|trägt|einen|roten|Pullover|und|eine|blaue|Hose|.","Adjective endings in accusative","She wears a red sweater and blue pants."
"Wir müssen für den Test morgen lernen.","Wir|müssen|für|den|Test|morgen|lernen|.","""müssen"" + purpose preposition","We must study for tomorrow's test."
"Ich nehme immer den Zug nach Hause.","Ich|nehme|immer|den|Zug|nach|Hause|.","""immer"" + accusative transport","I always take the train home."
"Die Katze schläft unter dem Tisch.","Die|Katze|schläft|unter|dem|Tisch|.","""unter"" + dative location","The cat sleeps under the table."
"Hast du heute Nachmittag Zeit?","Hast|du|heute|Nachmittag|Zeit|?","Time expression in question","Do you have time this afternoon?"
"Das Restaurant serviert italienisches Essen.","Das|Restaurant|serviert|italienisches|Essen|.","Nationality adjective ending","The restaurant serves Italian food."
"Meine Schwester wohnt in einer kleinen Wohnung.","Meine|Schwester|wohnt|in|einer|kleinen|Wohnung|.","Dative feminine with adjective","My sister lives in a small apartment."
"Kinder spielen oft im Park mit Freunden.","Kinder|spielen|oft|im|Park|mit|Freunden|.","Adverb + dative location + mit","Children often play in the park with friends."
"Ich brauche einen neuen Stift für die Schule.","Ich|brauche|einen|neuen|Stift|für|die|Schule|.","Accusative masculine with adjective","I need a new pen for school."
"Er liest gerne Bücher über Geschichte.","Er|liest|gerne|Bücher|über|Geschichte|.","""gerne"" + accusative plural","He likes reading books about history."
"Die Straßen sind nass, weil es regnet.","Die|Straßen|sind|nass|,|weil|es|regnet|.","""weil"" introduces causal clause","The streets are wet because it's raining."
"Wir treffen uns vor dem Kino um drei Uhr.","Wir|treffen|uns|vor|dem|Kino|um|drei|Uhr|.","Reflexive + location + exact time","We meet in front of the cinema at three o'clock."
"Sie können Deutsch und Englisch sprechen.","Sie|können|Deutsch|und|Englisch|sprechen|.","Modal verb + languages","They can speak German and English."
"Das Museum ist am Dienstag geschlossen.","Das|Museum|ist|am|Dienstag|geschlossen|.","""geschlossen"" = closed + day","The museum is closed on Tuesday."
"Ich wasche mein Auto am Samstag.","Ich|wasche|mein|Auto|am|Samstag|.","Routine action + specific day","I wash my car on Saturday."
"Der Arzt arbeitet in einem großen Krankenhaus.","Der|Arzt|arbeitet|in|einem|großen|Krankenhaus|.","Dative neuter with adjective","The doctor works in a big hospital."
"Fährst du mit dem Bus oder mit dem Fahrrad?","Fährst|du|mit|dem|Bus|oder|mit|dem|Fahrrad|?","Alternative question structure","Do you go by bus or by bike?"
"Sie hat vergessen, ihre Hausaufgaben zu machen.","Sie|hat|vergessen|,|ihre|Hausaufgaben|zu|machen|.","""vergessen"" + zu + infinitive","She forgot to do her homework."
"Im Sommer ist das Wetter meistens warm.","Im|Sommer|ist|das|Wetter|meistens|warm|.","Season + frequency adverb","In summer the weather is mostly warm."
"Kann ich bitte die Rechnung haben?","Kann|ich|bitte|die|Rechnung|haben|?","Polite request with ""bitte""","Can I please have the bill?"
"Die Gäste kommen aus verschiedenen Ländern.","Die|Gäste|kommen|aus|verschiedenen|Ländern|.","Plural after ""aus""","The guests come from various countries."
"Mein Vater liest die Zeitung nach dem Abendessen.","Mein|Vater|liest|die|Zeitung|nach|dem|Abendessen|.","Time expression with ""nach""","My father reads the newspaper after dinner."
"Wir gehen spazieren, wenn die Sonne scheint.","Wir|gehen|spazieren|,|wenn|die|Sonne|scheint|.","""wenn"" introduces conditional","We go for walks when the sun shines."
"Das Kind möchte Eis, aber es ist kalt.","Das|Kind|möchte|Eis|,|aber|es|ist|kalt|.","""aber"" for contrast","The child wants ice cream but it's cold."
"Sie kauft Brot beim Bäcker jeden Tag.","Sie|kauft|Brot|beim|Bäcker|jeden|Tag|.","""beim"" = bei+dem (dative)","She buys bread at the baker's every day."
"Der Unterricht beginnt um neun Uhr morgens.","Der|Unterricht|beginnt|um|neun|Uhr|morgens|.","School start time expression","Class begins at nine o'clock in the morning."
"Ich schlafe acht Stunden pro Nacht.","Ich|schlafe|acht|Stunden|pro|Nacht|.","Quantity + time period","I sleep eight hours per night."
"Er hat den Schlüssel verloren, deshalb kann er nicht ins Haus.","Er|hat|den|Schlüssel|verloren|,|deshalb|kann|er|nicht|ins|Haus|.","""deshalb"" for consequence","He lost the key, therefore he can't enter the house."
"Die Blumen im Garten brauchen Wasser.","Die|Blumen|im|Garten|brauchen|Wasser|.","Location phrase between subject-object","The flowers in the garden need water."
"Wir müssen pünktlich zur Schule kommen.","Wir|müssen|pünktlich|zur|Schule|kommen|.","Modal verb + adverb + location","We must arrive at school on time."
"Sie trinkt lieber Tee als Kaffee.","Sie|trinkt|lieber|Tee|als|Kaffee|.","Comparative ""lieber"" + ""als""","She prefers tea over coffee."
"Im Winter tragen wir warme Jacken.","Im|Winter|tragen|wir|warme|Jacken|.","Season + plural accusative object","In winter we wear warm jackets."
"Das Kind kann schon lesen und schreiben.","Das|Kind|kann|schon|lesen|und|schreiben|.","""schon"" + multiple infinitives","The child can already read and write."
"Der Hund sucht seinen Ball im Garten.","Der|Hund|sucht|seinen|Ball|im|Garten|.","Possessive ""seinen"" (accusative)","The dog is looking for his ball in the garden."
"Ich rufe meine Mutter jeden Sonntag an.","Ich|rufe|meine|Mutter|jeden|Sonntag|an|.","Separable verb ""anrufen""","I call my mother every Sunday."
"Die Schüler schreiben einen Test nächste Woche.","Die|Schüler|schreiben|einen|Test|nächste|Woche|.","Future time expression at end","The students will write a test next week."
"Nach der Arbeit gehe ich ins Fitnessstudio.","Nach|der|Arbeit|gehe|ich|ins|Fitnessstudio|.","""nach"" + dative + ""ins""","After work I go to the gym."
"Wir haben keine Milch mehr im Kühlschrank.","Wir|haben|keine|Milch|mehr|im|Kühlschrank|.","""keine... mehr"" = no more","We have no milk left in the fridge."
"Sie liest ein interessantes Buch über Tiere.","Sie|liest|ein|interessantes|Buch|über|Tiere|.","Adjective ending before noun","She is reading an interesting book about animals."
"Der Apfelbaum im Garten trägt viele Früchte.","Der|Apfelbaum|im|Garten|trägt|viele|Früchte|.","""viele"" + plural accusative","The apple tree in the garden bears many fruits."
"Kannst du das Fenster öffnen? Es ist heiß hier.","Kannst|du|das|Fenster|öffnen|?|Es|ist|heiß|hier|.","Compound sentence with reason","Can you open the window? It's hot here."
"Meine Freunde kommen heute Abend zu Besuch.","Meine|Freunde|kommen|heute|Abend|zu|Besuch|.","""zu Besuch kommen"" = to visit","My friends are visiting tonight."
"Das Baby weint, weil es Hunger hat.","Das|Baby|weint|,|weil|es|Hunger|hat|.","""weil"" + subject-verb inversion","The baby cries because it is hungry."
"Vor dem Schlafengehen putze ich meine Zähne.","Vor|dem|Schlafengehen|putze|ich|meine|Zähne|.","Complex time expression","Before sleeping I brush my teeth."
"Der Bus kommt in zehn Minuten an der Haltestelle.","Der|Bus|kommt|in|zehn|Minuten|an|der|Haltestelle|.","""in"" + time + arrival location","The bus arrives at the stop in ten minutes."
"Der Kuchen schmeckt süß.","Der|Kuchen|schmeckt|süß|.","""schmecken"" + adjective for taste","The cake tastes sweet."
"Ich lege das Buch auf den Tisch.","Ich|lege|das|Buch|auf|den|Tisch|.","Accusative object + directional ""auf""","I put the book on the table."
"Vögel fliegen hoch am Himmel.","Vögel|fliegen|hoch|am|Himmel|.","Plural subject + location phrase","Birds fly high in the sky."
"Nach dem Regen gibt es einen Regenbogen.","Nach|dem|Regen|gibt|es|einen|Regenbogen|.","""es gibt"" = there is/are","After rain there is a rainbow."
"Wir packen Geschenke für Weihnachten.","Wir|packen|Geschenke|für|Weihnachten|.","Holiday vocabulary + ""für""","We wrap presents for Christmas."
"Das Handy ist auf dem Sofa.","Das|Handy|ist|auf|dem|Sofa|.","""Handy"" = mobile phone (neuter)","The mobile phone is on the sofa."
