pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Frühstück,das,n,das Frühstück.,Frühstücke,breakfast,"Das Frühstück ist von 7 bis 10 Uhr.","Breakfast is from 7 to 10 AM.","Ich möchte Frühstück aufs Zimmer.","I would like breakfast in my room."
verb,warten,-,-,-,-,to wait,"Ich warte auf den Techniker.","I am waiting for the technician.","Warten Sie bitte kurz.","Wait shortly, please."
noun,Kunde,der,m,der Kunde (weak noun).,Kunden,customer / client,"Der Kunde hat einen Termin.","The customer has an appointment.","Ich spreche gerade mit einem Kunden.","I am talking to a customer right now."
noun,Kundin,die,f,die Kundin.,Kundinnen,customer / client (female),"Die Kundin wartet schon.","The customer is already waiting.","Eine wichtige Kundin.","An important customer."
phrase,Tut mir leid,-,-,-,-,I'm sorry,"Tut mir leid, das geht nicht.","I'm sorry, that doesn't work.","Tut mir leid für die Verspätung.","I'm sorry for the delay."
adverb,leider,-,-,-,-,unfortunately,"Leider habe ich am Montag keine Zeit.","Unfortunately I have no time on Monday.","Er ist leider krank.","He is unfortunately sick."
adjective,krank,-,-,-,-,sick / ill,"Ich bin heute krank.","I am sick today.","Das Kind ist krank.","The child is sick."
noun,Chef,der,m,der Chef.,Chefs,boss (male),"Der Chef ist in einer Besprechung.","The boss is in a meeting.","Ich muss meinen Chef fragen.","I have to ask my boss."
noun,Chefin,die,f,die Chefin.,Chefinnen,boss (female),"Die Chefin hat heute keinen Termin frei.","The boss has no open appointments today.","Meine Chefin ist sehr nett.","My boss is very nice."
adverb,vormittags,-,-,-,-,in the mornings,"Vormittags arbeite ich immer.","In the mornings I always work.","Die Praxis ist vormittags offen.","The practice is open in the mornings."
adverb,nachmittags,-,-,-,-,in the afternoons,"Nachmittags habe ich Zeit.","In the afternoons I have time.","Wir haben nachmittags geschlossen.","We are closed in the afternoons."
adverb,abends,-,-,-,-,in the evenings,"Abends sehe ich gern fern.","In the evenings I like to watch TV.","Rufen Sie mich abends an.","Call me in the evenings."
noun,Zimmerservice,der,m,der Zimmerservice.,-,room service,"Ich rufe den Zimmerservice.","I am calling room service.","Der Zimmerservice bringt das Essen.","Room service brings the food."
noun,Reparatur,die,f,die Reparatur — ends in -ur.,Reparaturen,repair,"Die Reparatur dauert nicht lange.","The repair won't take long.","Ich bezahle die Reparatur.","I am paying for the repair."
verb,anmachen,-,-,-,-,to turn on (separable),"Können Sie die Heizung anmachen?","Can you turn on the heating?","Ich mache das Licht an.","I turn on the light."
verb,ausmachen,-,-,-,-,to turn off (separable),"Bitte machen Sie den Fernseher aus.","Please turn off the TV.","Ich mache das Licht aus.","I turn off the light."
