pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Taxi,das,n,das Taxi.,Taxis,taxi / cab,"Wir nehmen ein Taxi.","We are taking a taxi.","Das Taxi wartet.","The taxi is waiting."
noun,Motorrad,das,n,das Motorrad — compound ending in -rad.,Motorräder,motorcycle,"Er fährt ein Motorrad.","He rides a motorcycle.","Das Motorrad ist laut.","The motorcycle is loud."
noun,Bahnhof,der,m,der Bahnhof — compound ending in -hof.,Bahnhöfe,train station,"Wir treffen uns am Bahnhof.","We are meeting at the train station.","Wo ist der Bahnhof?","Where is the train station?"
noun,Hauptbahnhof,der,m,der Hauptbahnhof.,Hauptbahnhöfe,main train station / central station,"Der Zug hält am Hauptbahnhof.","The train stops at the main station.","Ich bin am Hauptbahnhof.","I am at the main station."
noun,Flughafen,der,m,der Flughafen.,Flughäfen,airport,"Wir fahren zum Flughafen.","We are going to the airport.","Der Flughafen ist weit weg.","The airport is far away."
noun,Haltestelle,die,f,die Haltestelle — ends in -e.,Haltestellen,stop (bus/tram),"Das ist die nächste Haltestelle.","That is the next stop.","An welcher Haltestelle steigst du aus?","At which stop do you get off?"
noun,Gleis,das,n,das Gleis.,Gleise,platform / track,"Der Zug fährt auf Gleis 3 ab.","The train departs on track 3.","Wo ist Gleis 5?","Where is platform 5?"
noun,Fahrkarte,die,f,die Fahrkarte — compound ending in -karte.,Fahrkarten,ticket (travel),"Ich kaufe eine Fahrkarte.","I am buying a ticket.","Haben Sie Ihre Fahrkarte?","Do you have your ticket?"
noun,Ticket,das,n,das Ticket — borrowed from English.,Tickets,ticket,"Hier ist mein Ticket.","Here is my ticket.","Wo kann ich ein Ticket kaufen?","Where can I buy a ticket?"
noun,Automat,der,m,der Automat.,Automaten,machine / vending machine,"Der Ticketautomat ist kaputt.","The ticket machine is broken.","Ich kaufe die Fahrkarte am Automaten.","I buy the ticket at the machine."
noun,Gepäck,das,n,das Gepäck.,-,luggage / baggage,"Haben Sie Gepäck?","Do you have luggage?","Das Gepäck ist schwer.","The luggage is heavy."
noun,Koffer,der,m,der Koffer — ends in -er.,Koffer,suitcase,"Mein Koffer ist rot.","My suitcase is red.","Ich packe meinen Koffer.","I am packing my suitcase."
noun,Tasche,die,f,die Tasche — ends in -e.,Taschen,bag,"Die Tasche ist klein.","The bag is small.","Ist das deine Tasche?","Is that your bag?"
noun,Passagier,der,m,der Passagier.,Passagiere,passenger,"Die Passagiere steigen ein.","The passengers are boarding.","Bitte alle Passagiere aussteigen.","All passengers disembark, please."
noun,Abfahrt,die,f,die Abfahrt.,Abfahrten,departure (by vehicle),"Die Abfahrt ist um 10 Uhr.","The departure is at 10 o'clock.","Wir warten auf die Abfahrt.","We are waiting for the departure."
noun,Ankunft,die,f,die Ankunft.,Ankünfte,arrival,"Die Ankunft ist auf Gleis 4.","The arrival is on track 4.","Wann ist die Ankunft in Berlin?","When is the arrival in Berlin?"
noun,Abflug,der,m,der Abflug.,Abflüge,departure (by flight),"Der Abflug hat Verspätung.","The departure is delayed.","Wann ist der Abflug?","When is the flight departure?"
noun,Verspätung,die,f,die Verspätung — ends in -ung.,Verspätungen,delay,"Der Zug hat 20 Minuten Verspätung.","The train has a 20-minute delay.","Entschuldigung für die Verspätung.","Sorry for the delay."
noun,Anschluss,der,m,der Anschluss.,Anschlüsse,connection (travel),"Sie haben Anschluss nach München.","You have a connection to Munich.","Mein Anschlusszug wartet nicht.","My connecting train is not waiting."
noun,Durchsage,die,f,die Durchsage — ends in -e.,Durchsagen,announcement,"Achten Sie auf die Durchsage.","Pay attention to the announcement.","Hören Sie die Durchsage.","Listen to the announcement."
noun,Ausweis,der,m,der Ausweis.,Ausweise,ID card,"Zeigen Sie bitte Ihren Ausweis.","Please show your ID.","Ich brauche meinen Ausweis.","I need my ID."
noun,Pass,der,m,der Pass.,Pässe,passport,"Haben Sie Ihren Pass?","Do you have your passport?","Der Pass ist wichtig.","The passport is important."
verb,fliegen,-,-,-,-,to fly,"Wir fliegen nach Spanien.","We are flying to Spain.","Wann fliegt das Flugzeug?","When does the airplane fly?"
verb,fahren,-,-,-,-,to drive / to travel,"Er fährt mit dem Auto.","He drives by car.","Fahren Sie nach Berlin?","Are you traveling to Berlin?"
verb,abfahren,-,-,-,-,to depart / to leave (separable),"Der Zug fährt pünktlich ab.","The train departs on time.","Wann fahrt ihr ab?","When are you all leaving?"
verb,ankommen,-,-,-,-,to arrive (separable),"Wir kommen um 12 Uhr an.","We arrive at 12 o'clock.","Wann kommt der Bus an?","When does the bus arrive?"
verb,umsteigen,-,-,-,-,to transfer / to change trains (separable),"Wir müssen in Frankfurt umsteigen.","We must transfer in Frankfurt.","Steigen Sie bitte hier um.","Please change trains here."
verb,einsteigen,-,-,-,-,to board / to get on (separable),"Bitte steigen Sie jetzt ein.","Please board now.","Er steigt in den Zug ein.","He gets on the train."
verb,aussteigen,-,-,-,-,to disembark / to get off (separable),"Wir steigen an der nächsten Haltestelle aus.","We get off at the next stop.","Alle Passagiere aussteigen, bitte!","All passengers get off, please!"
verb,wollen,-,-,-,-,to want (to),"Ich will nach Hause gehen.","I want to go home.","Was wollt ihr machen?","What do you want to do?"
verb,müssen,-,-,-,-,to have to / must,"Ich muss arbeiten.","I have to work.","Wir müssen umsteigen.","We must change trains."
verb,nehmen,-,-,-,-,to take,"Ich nehme ein Taxi.","I'll take a taxi.","Nimmst du den Bus?","Are you taking the bus?"
verb,halten,-,-,-,-,to stop / to hold,"Der Bus hält hier nicht.","The bus doesn't stop here.","Halten Sie bitte an!","Please stop!"
adjective,pünktlich,-,-,-,-,punctual / on time,"Der Zug ist pünktlich.","The train is on time.","Bitte seien Sie pünktlich.","Please be on time."
adjective,verspätet,-,-,-,-,delayed,"Der Flug ist verspätet.","The flight is delayed.","Wir sind leider verspätet.","We are unfortunately delayed."
adjective,direkt,-,-,-,-,direct / directly,"Fährt der Zug direkt nach Köln?","Does the train go directly to Cologne?","Eine direkte Verbindung.","A direct connection."
adjective,weit,-,-,-,-,far,"Der Flughafen ist weit.","The airport is far.","Ist es noch weit?","Is it still far?"
adjective,nah,-,-,-,-,near / close,"Die Haltestelle ist sehr nah.","The stop is very close.","Es ist nicht nah.","It is not close."
adverb,wohin,-,-,-,-,where to,"Wohin fahren Sie?","Where are you traveling to?","Wohin willst du?","Where do you want to go?"
preposition,mit,-,-,-,-,with / by (means of transport, requires Dativ),"Ich fahre mit dem Bus.","I travel by bus.","Kommst du mit mir?","Are you coming with me?"
preposition,nach,-,-,-,-,to (cities, countries),"Wir fliegen nach Berlin.","We are flying to Berlin.","Der Zug nach München.","The train to Munich."
preposition,zu,-,-,-,-,to (places, people, requires Dativ),"Ich fahre zum Bahnhof.","I am going to the train station.","Er geht zur Arbeit.","He is going to work."
phrase,Achtung,-,-,-,-,Attention,"Achtung an Gleis 5!","Attention on platform 5!","Achtung, der Zug fährt ab.","Attention, the train is departing."
phrase,Vorsicht,-,-,-,-,Caution / Careful,"Vorsicht an der Bahnsteigkante!","Caution at the platform edge!","Vorsicht, heiß!","Careful, hot!"
phrase,bitte zurückbleiben,-,-,-,-,please stand back,"Türen schließen, bitte zurückbleiben!","Doors closing, please stand back!","Bitte zurückbleiben!","Please stand back!"
adverb,einfach,-,-,-,-,simple / single (ticket),"Eine Fahrkarte nach München, einfach.","A single ticket to Munich.","Das ist sehr einfach.","That is very simple."
phrase,hin und zurück,-,-,-,-,round trip / return ticket,"Einmal Berlin, hin und zurück.","One to Berlin, round trip.","Möchten Sie hin und zurück?","Would you like a return ticket?"
noun,Klasse,die,f,die Klasse.,Klassen,class,"Zweite Klasse, bitte.","Second class, please.","Wir reisen erste Klasse.","We are traveling first class."
verb,abholen,-,-,-,-,to pick up (separable),"Ich hole dich am Bahnhof ab.","I will pick you up at the train station.","Kannst du mich abholen?","Can you pick me up?"
noun,Schalter,der,m,der Schalter.,Schalter,counter / ticket window,"Kaufen Sie das Ticket am Schalter.","Buy the ticket at the counter.","Der Schalter ist geschlossen.","The ticket window is closed."
noun,Fahrplan,der,m,der Fahrplan.,Fahrpläne,schedule / timetable,"Lesen Sie den Fahrplan.","Read the timetable.","Der Fahrplan hängt dort.","The timetable is hanging there."
noun,Gleis,das,n,das Gleis.,Gleise,platform / track,"Der Zug hält auf Gleis vier.","The train stops on track four.","Gleis zwei.","Platform two."
noun,Information,die,f,die Information.,Informationen,information (desk),"Fragen Sie an der Information.","Ask at the information desk.","Ich brauche eine Information.","I need some information."
