text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Das Ticket kostet 15 Euro. - Oh, ich habe nur 10 Euro. Ich muss zum Geldautomaten.","Warum muss die Person zum Geldautomaten?","Sie hat nicht genug Geld (nur 10 Euro).","Der Automat ist kaputt.","Sie will kein Ticket kaufen.","Das Ticket kostet 10 Euro.","The ticket costs 15 euros. - Oh, I only have 10 euros. I have to go to the ATM.","Listen to the mismatch in funds."
"Die Fahrt dauert sehr lange. Fast sechs Stunden.","Wie lange dauert die Fahrt?","Fast sechs Stunden","Genau sechs Stunden","Fünf Stunden","Kurz","The journey takes a very long time. Almost six hours.","Listen for the duration."
"Guten Tag, Herr Meier. Wohin soll die Reise gehen? - Nach Paris, bitte.","Wohin will Herr Meier reisen?","Nach Paris","Nach Berlin","Nach Rom","Nach London","Good day, Mr. Meier. Where is the journey heading? - To Paris, please.","Listen to the destination city."
"Der Bus hält hier nicht mehr. Die neue Haltestelle ist dort drüben.","Wo ist die Haltestelle jetzt?","Dort drüben","Hier","Am Bahnhof","Sie ist weg.","The bus doesn't stop here anymore. The new stop is over there.","'dort drüben' means over there."
"Ich will ans Meer fahren. - Toll! Fährst du mit dem Auto? - Ja, das ist praktischer.","Warum fährt die Person mit dem Auto?","Es ist praktischer.","Es ist billiger.","Es ist schneller.","Sie liebt Autos.","I want to go to the sea. - Great! Are you driving by car? - Yes, that is more practical.","Listen to the comparative adjective 'praktischer'."
"Achtung, Gleis 8! Bitte nicht einsteigen! Der Zug endet hier.","Was sollen die Passagiere an Gleis 8 tun?","Nicht einsteigen","Einsteigen","Umsteigen","Tickets kaufen","Attention, track 8! Please do not board! The train terminates here.","Listen to the instruction 'nicht einsteigen'."
"Ich fahre mit dem Taxi zum Flughafen. Das kostet 30 Euro.","Wie kommt die Person zum Flughafen?","Mit dem Taxi","Mit dem Bus","Mit der S-Bahn","Mit dem Zug","I am taking a taxi to the airport. That costs 30 euros.","Listen to the vehicle 'Taxi'."
"Hast du dein Gepäck? - Ja, mein Koffer und meine Tasche sind hier.","Was gehört zum Gepäck?","Koffer und Tasche","Nur ein Koffer","Ein Rucksack","Nichts","Do you have your luggage? - Yes, my suitcase and my bag are here.","Listen to the two items."
"Ist der Platz noch frei? - Nein, tut mir leid, hier sitzt mein Mann.","Kann die Person sich dorthin setzen?","Nein, der Platz ist besetzt.","Ja, der Platz ist frei.","Ja, aber nur kurz.","Vielleicht.","Is the seat still free? - No, I'm sorry, my husband is sitting here.","The seat is taken."
"Ich nehme den Zug um 8 Uhr. Dann bin ich um 10 Uhr in München.","Wann ist die Ankunft in München?","Um 10 Uhr","Um 8 Uhr","Um 12 Uhr","Um 9 Uhr","I will take the 8 o'clock train. Then I will be in Munich at 10 o'clock.","Listen to the time associated with Munich."
"Müssen wir hier aussteigen? - Nein, erst an der nächsten Haltestelle.","Wann steigen sie aus?","An der nächsten Haltestelle","Hier","Sofort","Gar nicht","Do we have to get off here? - No, not until the next stop.","Listen to the timing 'erst an der nächsten Haltestelle'."
"Der Fahrplan ist neu. Der Bus fährt jetzt alle 20 Minuten.","Wie oft fährt der Bus jetzt?","Alle 20 Minuten","Alle 10 Minuten","Jede Stunde","Alle 2 Minuten","The timetable is new. The bus now runs every 20 minutes.","Listen to the frequency 'alle 20 Minuten'."
"Kannst du mich vom Bahnhof abholen? Mein Zug kommt um 17:15 Uhr an. - Klar, mache ich.","Was macht die zweite Person?","Sie holt den Freund vom Bahnhof ab.","Sie kauft ein Ticket.","Sie fährt mit dem Zug.","Sie kocht das Abendessen.","Can you pick me up from the train station? My train arrives at 17:15. - Sure, I will.","'abholen' means to pick up."
"Entschuldigung, wo ist Gleis 4? - Gehen Sie die Treppe runter und dann links.","Wo ist Gleis 4?","Die Treppe runter und links","Die Treppe hoch und rechts","Geradeaus","Dort drüben rechts","Excuse me, where is track 4? - Go down the stairs and then left.","Listen to the directions."
"Wir wollen am Samstag nach Köln fahren. - Das ist schön. Mit dem Zug?","Wann wollen sie nach Köln fahren?","Am Samstag","Heute","Morgen","Am Sonntag","We want to go to Cologne on Saturday. - That is nice. By train?","Listen to the day."
"Die Straßenbahn ist kaputt. Wir müssen zu Fuß gehen.","Warum müssen sie zu Fuß gehen?","Die Straßenbahn ist kaputt.","Sie haben kein Ticket.","Sie wollen Sport machen.","Der Weg ist sehr kurz.","The tram is broken. We have to walk.","Listen to the reason 'kaputt'."
"Eine Fahrkarte nach Frankfurt, erste Klasse. - Einfach? - Nein, hin und zurück.","Was für ein Ticket möchte der Kunde?","Erste Klasse, hin und zurück","Erste Klasse, einfach","Zweite Klasse, hin und zurück","Zweite Klasse, einfach","A ticket to Frankfurt, first class. - Single? - No, round trip.","Listen to both details."
"Wann ist der Flug nach Madrid? - Der Abflug ist um 12:40 Uhr an Gate A5.","Wo ist der Abflug?","Gate A5","Gate A4","Gate B5","Gleis 5","When is the flight to Madrid? - Departure is at 12:40 at Gate A5.","Listen for the Gate assignment."
"Hast du deinen Pass? Wir fliegen ins Ausland! - Ja, den habe ich in der Tasche.","Was hat die Person in der Tasche?","Ihren Pass","Ihr Ticket","Ihr Handy","Ihren Schlüssel","Do you have your passport? We are flying abroad! - Yes, I have it in my bag.","Listen to the document mentioned."
"Der Anschlusszug nach Wien hat leider 15 Minuten Verspätung.","Wohin fährt der Anschlusszug?","Nach Wien","Nach Berlin","Nach München","Nach Frankfurt","The connecting train to Vienna unfortunately has a 15-minute delay.","Listen to the city."
"Fährt der Bus zum Flughafen? - Nein, Sie müssen die S-Bahn nehmen.","Wie kommt man zum Flughafen?","Mit der S-Bahn","Mit dem Bus","Mit dem Zug","Zu Fuß","Does the bus go to the airport? - No, you have to take the S-Bahn.","Listen to the recommended transport."
"Ich muss jetzt einsteigen. Der Zug fährt gleich ab. Tschüs!","Was macht die Person jetzt?","Sie steigt ein.","Sie kauft ein Ticket.","Sie steigt aus.","Sie ruft ein Taxi.","I have to board now. The train is leaving shortly. Bye!","Listen to the verb 'einsteigen'."
