test_text,answer,test_verb,tip,meaning,grammar_tip
"Biegen Sie null rechts ab.","nach","nach","Preposition for direction left/right","Turn right.","Direction: nach rechts."
"Der Supermarkt ist in null Nähe. (die)","der","in","Dativ feminine asking 'Wo?'","The supermarket is in the vicinity (nearby).","Phrase: in der Nähe."
"Gehen Sie immer null. (straight ahead)","geradeaus","geradeaus","Directional adverb","Keep going straight ahead.","Adverb: geradeaus."
"Wissen Sie, wo null Bahnhof ist? (the)","der","wissen","Nominativ masculine","Do you know where the train station is?","Nominativ subject: der Bahnhof."
"Der Weg ist nicht null. (far)","weit","weit","Adjective describing distance","The path is not far.","Adjective: weit."
"Das Krankenhaus ist null der Ampel. (at)","an","an","Local preposition for 'at'","The hospital is at the traffic light.","Preposition: an der Ampel."
"Ich helfe null gern. (you, formal)","Ihnen","helfen","Dativ formal pronoun","I gladly help you.","helfen takes Dativ: Sie -> Ihnen."
"Wir stehen null dem Museum. (in front of)","vor","vor","Local preposition for 'in front of'","We are standing in front of the museum.","Preposition: vor."
"Er wohnt null der Kirche. (next to)","neben","neben","Local preposition for 'next to'","He lives next to the church.","Preposition: neben."
"Der Hund sitzt null dem Tisch. (under)","unter","unter","Local preposition for 'under'","The dog sits under the table.","Preposition: unter."
"Das Hotel ist null den Banken. (between, plural)","zwischen","zwischen","Local preposition 'between' with plural Dativ","The hotel is between the banks.","Wo? + Dativ Plural: die Banken -> den Banken."
"Wir fahren null Flughafen. (zu + dem)","zum","zu","Contraction of zu + dem","We drive to the airport.","zu + dem = zum."
