pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
adverb,vielleicht,-,-,-,-,maybe / perhaps,"Vielleicht habe ich Zeit.","Maybe I have time.","Vielleicht hat er das gemacht.","Maybe he did that."
verb,treffen,-,-,-,-,to meet,"Ich treffe Freunde.","I am meeting friends.","Wir treffen uns um 8.","We meet at 8."
verb,getroffen,-,-,-,-,met (Partizip II),"Ich habe Freunde getroffen.","I met friends.","Wir haben uns gestern getroffen.","We met yesterday."
verb,sprechen,-,-,-,-,to speak,"Er spricht Deutsch.","He speaks German.","Sprichst du Englisch?","Do you speak English?"
verb,gesprochen,-,-,-,-,spoken (Partizip II),"Wir haben Deutsch gesprochen.","We spoke German.","Ich habe mit dem Chef gesprochen.","I spoke with the boss."
noun,Projekt,das,n,das Projekt.,Projekte,project,"Wir arbeiten an einem Projekt.","We are working on a project.","Das Projekt ist fertig.","The project is finished."
noun,Termin,der,m,der Termin.,Termine,appointment,"Ich hatte gestern viele Termine.","I had many appointments yesterday.","Der Termin ist wichtig.","The appointment is important."
adjective,interessant,-,-,-,-,interesting,"Der Film war interessant.","The movie was interesting.","Eine interessante Aufgabe.","An interesting task."
adjective,anstrengend,-,-,-,-,exhausting / tiring,"Der Tag war anstrengend.","The day was exhausting.","Sport ist manchmal anstrengend.","Sport is sometimes exhausting."
adjective,langweilig,-,-,-,-,boring,"Das war sehr langweilig.","That was very boring.","Ein langweiliges Buch.","A boring book."
