sentence,words,tip,translation_en
"Früher habe ich in Köln gewohnt.","Früher|habe|ich|in|Köln|gewohnt|.","Talking about a past state with 'früher'.","In the past I lived in Cologne."
"Heute habe ich frei.","Heute|habe|ich|frei|.","Contrasting past with present.","Today I am free."
"Er hat die Hausaufgaben gemacht.","Er|hat|die|Hausaufgaben|gemacht|.","Describing a completed task.","He did the homework."
"Ich habe einen Zeitungsartikel gelesen.","Ich|habe|einen|Zeitungsartikel|gelesen|.","Describing a reading activity.","I read a newspaper article."
"Was hast du am Vormittag gemacht?","Was|hast|du|am|Vormittag|gemacht|?","Asking about a specific time in the past.","What did you do in the morning?"
"Am Vormittag habe ich E-Mails geschrieben.","Am|Vormittag|habe|ich|E-Mails|geschrieben|.","Answering about a specific time.","In the morning I wrote emails."
"Wir haben zusammen Mittagessen gekocht.","Wir|haben|zusammen|Mittagessen|gekocht|.","Describing a shared past activity.","We cooked lunch together."
"Hast du das Rezept gelesen?","Hast|du|das|Rezept|gelesen|?","Checking if someone read something.","Did you read the recipe?"
"Er hat nie Gitarre gespielt.","Er|hat|nie|Gitarre|gespielt|.","Stating something never happened.","He has never played guitar."
"Hast du das schon gemacht?","Hast|du|das|schon|gemacht|?","Asking if something is already done.","Have you already done that?"
"Ja, ich habe das schon gemacht.","Ja|,|ich|habe|das|schon|gemacht|.","Confirming completion.","Yes, I have already done that."
"Wir haben uns gestern getroffen.","Wir|haben|uns|gestern|getroffen|.","Describing a mutual meeting.","We met yesterday."
"Der Film war sehr langweilig.","Der|Film|war|sehr|langweilig|.","Giving an opinion on a past movie.","The movie was very boring."
"Wir haben im Restaurant gegessen.","Wir|haben|im|Restaurant|gegessen|.","Stating where you ate.","We ate in the restaurant."
"Ich habe Wasser getrunken.","Ich|habe|Wasser|getrunken|.","Stating what you drank.","I drank water."
